,train_sizes,train_mean,train_stdev,test_mean,test_stdev
0,171,91.96884179259521,1.8561037491714558,142.48146207975915,6.280692702984117
1,343,80.19207405447585,2.4868934044591726,142.46952862911334,6.2861517686175805
2,514,68.26410064859024,1.8610799883426,142.46952862911334,6.2861517686175805
3,686,66.73410784412803,1.6933127554562828,142.44141817551986,6.282773393014483
4,858,62.39533714716985,1.3003708128403648,142.44141817551986,6.282773393014483
5,1029,70.10192895960098,1.0004833594789384,142.43247133239274,6.276668710982984
6,1201,77.76484268179665,1.08699701192842,142.39159197628155,6.288655704968037
7,1372,76.67552506846052,0.8849449829231937,142.38506328540504,6.283559696189625
8,1544,74.13719227706159,0.8922260235230949,142.37562686805563,6.2729257595753385
9,1716,71.28709827981129,0.7897970420006566,142.37562686805563,6.2729257595753385
