x analytical,analytical gaussian,x residuals,model residuals
0.0006256931622632494,0.0001,0.0,0.0005827505827505828
0.0006582571988522889,0.0002,0.00018000513263267582,0.0011655011655011655
0.0007483165243127738,0.0003,0.0005662015498263457,0.0017482517482517483
0.0011642550038493873,0.0004,0.0007007439031017812,0.002331002331002331
0.0012851582291452444,0.0005,0.0007820851834181909,0.002913752913752914
0.0013871332226255463,0.0006,0.0008824230605400501,0.0034965034965034965
0.0015126264750181563,0.0007,0.0009708659425323854,0.004079254079254079
0.001601780519759082,0.0008,0.0010852926044926604,0.004662004662004662
0.0017557483096738154,0.0009,0.0025340841230494806,0.005244755244755245
0.0019471443655655722,0.001,0.002909329616409107,0.005827505827505828
0.001961421756891181,0.0011,0.00409802317885237,0.00641025641025641
0.0019729417513614407,0.0012,0.004461055794892396,0.006993006993006993
0.0019981998549142683,0.0013,0.005674361228982986,0.007575757575757576
0.0020469188018160923,0.0014,0.006122329648585594,0.008158508158508158
0.0021921394625891845,0.0015,0.006191000080032535,0.008741258741258742
0.002318349162317024,0.0016,0.007040683253246474,0.009324009324009324
0.0023206012347940686,0.0017,0.00730215942671862,0.009906759906759906
0.0023964034434572194,0.0018,0.007443969488578016,0.01048951048951049
0.0024045964087619177,0.0019,0.00746836249058378,0.011072261072261072
0.0024575014731096014,0.002,0.00838472488905905,0.011655011655011656
0.002561843152020168,0.0021,0.00942566197844655,0.012237762237762238
0.00258127125811041,0.0022,0.009620111026758242,0.01282051282051282
0.0025950833207046176,0.0023,0.011581119205207954,0.013403263403263404
0.002625356444590977,0.0024,0.011989489442630874,0.013986013986013986
0.0028090440804024444,0.0025,0.012587273392074959,0.014568764568764568
0.0028449742815684358,0.0026,0.012914032009344455,0.015151515151515152
0.002880078774682579,0.0027,0.013838563706134985,0.015734265734265736
0.002903504976162939,0.0028,0.014301215387493457,0.016317016317016316
0.002907115784153842,0.0029,0.014399891423742855,0.0168997668997669
0.0031725475626620094,0.003,0.01456130212372174,0.017482517482517484
0.0031746810765586834,0.0031,0.014617643031838285,0.018065268065268064
0.003365386777097505,0.0032,0.016679600804371968,0.018648018648018648
0.0033802307167261564,0.0033,0.016773531196763038,0.019230769230769232
0.003435971478273465,0.0034,0.01888334456218117,0.019813519813519812
0.0034468549086207737,0.0035,0.01898404045173446,0.020396270396270396
0.003665575516931662,0.0036,0.019107654259218718,0.02097902097902098
0.0037697113931908005,0.0037,0.019200604613876456,0.02156177156177156
0.00388968763253451,0.0038,0.01941868272244628,0.022144522144522144
0.00409248193222628,0.0039,0.019645781085597988,0.022727272727272728
0.004223747955758285,0.004,0.01990615530111511,0.023310023310023312
0.004343959647302585,0.0041,0.020216139634000683,0.023892773892773892
0.004674006165417211,0.0042,0.020804517269867134,0.024475524475524476
0.005060783742044907,0.0043,0.020949470559279485,0.02505827505827506
0.0053123862347591155,0.0044,0.021000815709824757,0.02564102564102564
0.005494166552339548,0.0045,0.021981054624532485,0.026223776223776224
0.005526422959877311,0.0046,0.022242554806581633,0.026806526806526808
0.005782384623351081,0.0047,0.022690225255550117,0.027389277389277388
0.0058174669292621805,0.0048,0.022976912855430687,0.027972027972027972
0.005824692428916879,0.0049,0.023240079569104122,0.028554778554778556
0.005977003927511671,0.005,0.023302799601836833,0.029137529137529136
0.0061678624002032886,0.0051,0.023658825994418556,0.02972027972027972
0.006588063031950028,0.0052,0.024060942405680002,0.030303030303030304
0.0065930496841150295,0.0053,0.024986842738969717,0.030885780885780884
0.0066608950321364446,0.0054,0.025275430548537148,0.03146853146853147
0.006986254828419269,0.0055,0.02735736097924957,0.03205128205128205
0.007030042424425058,0.0056,0.02794209290764486,0.03263403263403263
0.00717167646893062,0.0057,0.028833333446949595,0.033216783216783216
0.007259094202614034,0.0058,0.028864491066656065,0.0337995337995338
0.007493010233989147,0.0059,0.03024090002143357,0.034382284382284384
0.007700968132631848,0.006,0.031013490546716628,0.03496503496503497
0.007757156332224922,0.0061,0.03313061035959487,0.035547785547785545
0.00789889837413258,0.0062,0.03352623961224155,0.03613053613053613
0.007943360586111023,0.0063,0.03363393687885976,0.03671328671328671
0.008070868535164703,0.0064,0.03429010954496404,0.037296037296037296
0.008321358871372595,0.0065,0.03458730582710376,0.03787878787878788
0.008344910260500956,0.0066,0.03493513939589812,0.038461538461538464
0.008348195524137065,0.0067,0.035265289038978694,0.03904428904428905
0.008605223485050615,0.0068,0.03567990961575908,0.039627039627039624
0.008606106868460903,0.0069,0.03605494960160753,0.04020979020979021
0.008687914535470506,0.007,0.03622461803671687,0.04079254079254079
0.008801125085901244,0.0071,0.03628125960144695,0.041375291375291376
0.009068123068715229,0.0072,0.03788266308410331,0.04195804195804196
0.009102753561691641,0.0073,0.038891477668051753,0.042540792540792544
0.009260061692478049,0.0074,0.03972652330182284,0.04312354312354312
0.009286576353462939,0.0075,0.04021704887238721,0.043706293706293704
0.009326618854726233,0.0076,0.04049026329248384,0.04428904428904429
0.009533011735220797,0.0077,0.04060109374281994,0.04487179487179487
0.009566080039003371,0.0078,0.041393472712452306,0.045454545454545456
0.009647871258256021,0.0079,0.041403657607298035,0.04603729603729604
0.009712929548913486,0.008,0.04401352265152611,0.046620046620046623
0.009846960636615613,0.0081,0.044181362167985905,0.0472027972027972
0.00985452419197635,0.0082,0.04439224640532168,0.047785547785547784
0.010076187919168865,0.0083,0.045310310249832814,0.04836829836829837
0.01011397264620252,0.0084,0.04542352434796989,0.04895104895104895
0.010133858952432174,0.0085,0.045665304349789985,0.049533799533799536
0.010151691460615965,0.0086,0.04635977495704206,0.05011655011655012
0.010976827660744906,0.0087,0.04649742642739112,0.050699300699300696
0.01116808243848168,0.0088,0.046902120926426406,0.05128205128205128
0.01150217149642602,0.0089,0.046962060937895095,0.051864801864801864
0.011528242738105645,0.009,0.04702030374902085,0.05244755244755245
0.011594478118647413,0.0091,0.04741928542814812,0.05303030303030303
0.01160924961344712,0.0092,0.04753385141546501,0.053613053613053616
0.011646666150344478,0.0093,0.047645835323964186,0.05419580419580419
0.011852149488976546,0.0094,0.04806124317083171,0.054778554778554776
0.01200332176384467,0.0095,0.04846465435111865,0.05536130536130536
0.012271938950094383,0.0096,0.04994319782545387,0.055944055944055944
0.012281577323755991,0.0097,0.050166195184171807,0.05652680652680653
0.012624237645865077,0.0098,0.05148551927222261,0.05710955710955711
0.012860088404848901,0.0099,0.0518550109375806,0.057692307692307696
0.01288371167250549,0.01,0.05237926776604128,0.05827505827505827
0.012957235508544593,0.0101,0.05244642189297984,0.058857808857808856
0.013041847012508523,0.0102,0.052729529057244026,0.05944055944055944
0.013141000717623235,0.0103,0.05306857551938084,0.060023310023310024
0.013466191691751497,0.0104,0.053106555118143904,0.06060606060606061
0.013555675916203602,0.0105,0.05449971563342047,0.06118881118881119
0.013609488930241581,0.0106,0.05451043674492129,0.06177156177156177
0.013634970944341176,0.0107,0.055082069879839546,0.06235431235431235
0.013750977346031965,0.0108,0.05648774850354811,0.06293706293706294
0.013828500724060942,0.0109,0.05729470267524526,0.06351981351981352
0.014113639010210031,0.011,0.05781808865061185,0.0641025641025641
0.014125215299177736,0.0111,0.05797325416603209,0.06468531468531469
0.014156221371125382,0.0112,0.0580363040263353,0.06526806526806526
0.01421840736231867,0.0113,0.059627903362614205,0.06585081585081586
0.014261159880532134,0.0114,0.05978566341466969,0.06643356643356643
0.014478332851231747,0.0115,0.059869492829158336,0.06701631701631702
0.014823210138945402,0.0116,0.060652281058335644,0.0675990675990676
0.01497625059996855,0.0117,0.06080474207601355,0.06818181818181818
0.014979590537109571,0.0118,0.06147908328671771,0.06876456876456877
0.015042157943159528,0.0119,0.06184644916548346,0.06934731934731934
0.01510729413107968,0.012,0.062003645050811754,0.06993006993006994
0.01516735469394425,0.0121,0.06296849366040506,0.07051282051282051
0.015328336596461491,0.0122,0.06368457096529812,0.07109557109557109
0.015647379243099044,0.0123,0.06401864304361277,0.07167832167832168
0.015653406815892994,0.0124,0.06419557995424684,0.07226107226107226
0.01566168667352754,0.0125,0.06424160804590141,0.07284382284382285
0.015807236652136538,0.0126,0.06474033389489013,0.07342657342657342
0.01587549864466595,0.0127,0.06504139922527599,0.07400932400932402
0.01597687760274814,0.0128,0.06508144487141079,0.07459207459207459
0.016060184346464095,0.0129,0.06582630850465683,0.07517482517482517
0.016121584674782717,0.013,0.06594492293500434,0.07575757575757576
0.016419882049438665,0.0131,0.0659904718431948,0.07634032634032634
0.016521389615392804,0.0132,0.06620522578866431,0.07692307692307693
0.016546135895733203,0.0133,0.06658295541610199,0.0775058275058275
0.016609308289894546,0.0134,0.06771368627991728,0.0780885780885781
0.016740736115286987,0.0135,0.06808893819474882,0.07867132867132867
0.016852427908065938,0.0136,0.06817347155825637,0.07925407925407925
0.016856588740240284,0.0137,0.0691756159944117,0.07983682983682984
0.016860803218761537,0.0138,0.06954895737699741,0.08041958041958042
0.0170323901496243,0.0139,0.07032246358811728,0.08100233100233101
0.01706694473229532,0.014,0.07195268468562335,0.08158508158508158
0.017228404533841526,0.0141,0.07270851980244711,0.08216783216783216
0.017273054002173972,0.0142,0.07411779246584198,0.08275058275058275
0.0172826611165318,0.0143,0.07416503182986046,0.08333333333333333
0.017319209608334853,0.0144,0.0745121630023853,0.08391608391608392
0.01738385401140451,0.0145,0.07481201034846281,0.0844988344988345
0.01739007217319018,0.0146,0.07507465529315163,0.08508158508158509
0.017742093320782942,0.0147,0.07518911160113234,0.08566433566433566
0.01798697194736635,0.0148,0.07555816942608368,0.08624708624708624
0.018025083739917753,0.0149,0.07570264815182501,0.08682983682983683
0.018030128492607288,0.015,0.07575401372905563,0.08741258741258741
0.018224784171704714,0.0151,0.07589952826100357,0.087995337995338
0.018246674609724237,0.0152,0.076153340063753,0.08857808857808858
0.01826885585714659,0.0153,0.07649516743626963,0.08916083916083917
0.018416499550132935,0.0154,0.07672984493181084,0.08974358974358974
0.01842207958446758,0.0155,0.07692024949646739,0.09032634032634032
0.018846749672612812,0.0156,0.07701400100180615,0.09090909090909091
0.018921837946249857,0.0157,0.07701562014053681,0.09149184149184149
0.019242231886691462,0.0158,0.07736445327576279,0.09207459207459208
0.019620709620123845,0.0159,0.07762042785022442,0.09265734265734266
0.019709613887158684,0.016,0.07863625908756999,0.09324009324009325
0.019811954911469077,0.0161,0.07874302748402788,0.09382284382284382
0.01987045965368896,0.0162,0.0789025272249672,0.0944055944055944
0.019914711549142542,0.0163,0.07910143975438687,0.09498834498834499
0.019932635524570714,0.0164,0.07919709447446772,0.09557109557109557
0.020158529627692767,0.0165,0.07983849903806242,0.09615384615384616
0.020178416909483295,0.0166,0.0799254566322334,0.09673659673659674
0.020226432500144335,0.0167,0.08033198124412086,0.09731934731934731
0.02035101367489332,0.0168,0.08165824819575768,0.0979020979020979
0.020507233015328346,0.0169,0.08261049035586039,0.09848484848484848
0.020525673207905545,0.017,0.0831155288779935,0.09906759906759907
0.020833933129337255,0.0171,0.08334317911877763,0.09965034965034965
0.02095946764134083,0.0172,0.08363775032891554,0.10023310023310024
0.0210184661506708,0.0173,0.08423342351630357,0.10081585081585082
0.021023474172158316,0.0174,0.08448859950927849,0.10139860139860139
0.021084982488402605,0.0175,0.08683425014564117,0.10198135198135198
0.021217468995618518,0.0176,0.08702307870634432,0.10256410256410256
0.02152147720401785,0.0177,0.08771948210274447,0.10314685314685315
0.02156532175055429,0.0178,0.08791090466876444,0.10372960372960373
0.021852749789715208,0.0179,0.08875122660602988,0.10431235431235432
0.022088283509069682,0.018,0.08912977754493047,0.1048951048951049
0.02212590958014271,0.0181,0.0892331306762933,0.10547785547785547
0.022153216274367622,0.0182,0.09002189924782764,0.10606060606060606
0.02216918076687939,0.0183,0.0900761625268125,0.10664335664335664
0.02227197715704773,0.0184,0.09008503170591582,0.10722610722610723
0.022417720987710162,0.0185,0.09142966268257591,0.10780885780885781
0.022471102341981613,0.0186,0.09171875892030851,0.10839160839160839
0.022542572361016127,0.0187,0.09256788200600473,0.10897435897435898
0.022666825938556418,0.0188,0.09336507682023597,0.10955710955710955
0.022705549804387482,0.0189,0.09365672989522923,0.11013986013986014
0.022730282128767872,0.019,0.09431014805215848,0.11072261072261072
0.022754333476903397,0.0191,0.09454917618825205,0.11130536130536131
0.022768241782247123,0.0192,0.0954500631206969,0.11188811188811189
0.02296905815111174,0.0193,0.09700968694923628,0.11247086247086246
0.023285646081919444,0.0194,0.09751202255886762,0.11305361305361306
0.0233056582633429,0.0195,0.09776540420614407,0.11363636363636363
0.02333369096475609,0.0196,0.09780025158655693,0.11421911421911422
0.023381139595249983,0.0197,0.09843882451648434,0.1148018648018648
0.023481612912232712,0.0198,0.09910963511068757,0.11538461538461539
0.023538487303812368,0.0199,0.09928497463999625,0.11596736596736597
0.023637896442358256,0.02,0.09934290726345207,0.11655011655011654
0.023758525313075256,0.0201,0.09994412857021463,0.11713286713286714
0.02378903525623532,0.0202,0.09998278194056524,0.11771561771561771
0.024053364053692912,0.0203,0.10079439124752758,0.1182983682983683
0.02428479250549771,0.0204,0.10083810406866156,0.11888111888111888
0.024309325770528804,0.0205,0.1012092107051656,0.11946386946386946
0.024389906631258833,0.0206,0.10149762106727424,0.12004662004662005
0.024399872305494293,0.0207,0.10322686269112649,0.12062937062937062
0.02474377181919082,0.0208,0.10459482205099128,0.12121212121212122
0.024803269735118056,0.0209,0.10623324941449311,0.12179487179487179
0.025382728545781576,0.021,0.11043334953992662,0.12237762237762238
0.025452647831809515,0.0211,0.11072801931269316,0.12296037296037296
0.02618084975448366,0.0212,0.11213002440509992,0.12354312354312354
0.026585553085087955,0.0213,0.11237124794537333,0.12412587412587413
0.02670889519766218,0.0214,0.1123965606915726,0.1247086247086247
0.026743749814496048,0.0215,0.11335033054877879,0.1252913752913753
0.026858586874162996,0.0216,0.1135646212551977,0.1258741258741259
0.026942244281200345,0.0217,0.11372853970668162,0.12645687645687645
0.02701557629069563,0.0218,0.11425734122284012,0.12703962703962704
0.027056288502393642,0.0219,0.11480956397136864,0.12762237762237763
0.027061121959866728,0.022,0.1150524284938069,0.1282051282051282
0.02729498462799075,0.0221,0.1153659446829987,0.12878787878787878
0.02732620701294282,0.0222,0.11627573885781699,0.12937062937062938
0.02742804582252164,0.0223,0.11743878760596263,0.12995337995337997
0.02785138774837644,0.0224,0.11837883478352441,0.13053613053613053
0.028084858411307572,0.0225,0.11838646625351158,0.13111888111888112
0.028285704571783362,0.0226,0.11949311609859568,0.1317016317016317
0.02830474307894187,0.0227,0.11982776658750811,0.13228438228438227
0.028306734796698388,0.0228,0.12033262828322033,0.13286713286713286
0.02835387985936172,0.0229,0.12046528982106607,0.13344988344988346
0.028524105528781766,0.023,0.12203107906923903,0.13403263403263405
0.02858680238992032,0.0231,0.12240907764190097,0.1346153846153846
0.028604803942670898,0.0232,0.12246800579598359,0.1351981351981352
0.028749198726200922,0.0233,0.12285345785839909,0.1357808857808858
0.02880513677650519,0.0234,0.12315314824308617,0.13636363636363635
0.029005665692934102,0.0235,0.12332681709796166,0.13694638694638694
0.029471620857398434,0.0236,0.12380114488015424,0.13752913752913754
0.029734394992029383,0.0237,0.1242996453028709,0.1381118881118881
0.029996981806283442,0.0238,0.12455237416775461,0.1386946386946387
0.03010514951896822,0.0239,0.12565146138182348,0.13927738927738928
0.030193452982370063,0.024,0.12570191188254906,0.13986013986013987
0.030423334862182693,0.0241,0.12618378740759748,0.14044289044289043
0.030472014756013698,0.0242,0.1268240297674173,0.14102564102564102
0.030642128175077946,0.0243,0.1273849282896365,0.14160839160839161
0.030647397511808307,0.0244,0.1274194991462442,0.14219114219114218
0.03065061996433898,0.0245,0.12773863829800725,0.14277389277389277
0.03070347332954184,0.0246,0.1281924500017884,0.14335664335664336
0.030843715336591693,0.0247,0.12861903852074516,0.14393939393939395
0.031193064027787282,0.0248,0.12870973159070384,0.1445221445221445
0.031520276624200844,0.0249,0.12886086890675155,0.1451048951048951
0.031644634585499695,0.025,0.1289078764905244,0.1456876456876457
0.03168855300494979,0.0251,0.12987020262610147,0.14627039627039626
0.0317168025314806,0.0252,0.1311847062011598,0.14685314685314685
0.03175141326039141,0.0253,0.131654023540407,0.14743589743589744
0.031840550559846956,0.0254,0.1320209374885551,0.14801864801864803
0.03209901590330748,0.0255,0.13231098902378907,0.1486013986013986
0.03217594079301089,0.0256,0.13270920984733045,0.14918414918414918
0.032186373307802614,0.0257,0.13290903036024895,0.14976689976689977
0.03247010702731209,0.0258,0.13302994489465417,0.15034965034965034
