Simulated Composition,Energy above convex hull (meV/atom)
"Sr4La1Zn3Ni8O24
",381.107806842
"Y7Zn1Co8O24
",84.4124962184
"Y7Zn1Fe8O24
",54.9497902145
"Y7Mn8Zn1O24
",59.679202692
"Y7Zn1Ni8O24
",185.728826305
"Y6Zn2Co8O24
",119.298373532
"Y6Hf2Zn2Co6O24
",124.022946546
"Y6Nb2Zn2Co6O24
",119.65758775
"Y6Ta2Zn2Co6O24
",114.36792625
"Y6Ti2Zn2Co6O24
",103.964993921
"Y6Zr2Zn2Co6O24
",116.890894504
"Y6Zn2Fe8O24
",93.3858524289
"Y6Hf2Zn2Fe6O24
",137.488659125
"Y6Nb2Zn2Fe6O24
",209.8826285
"Y6Ta2Zn2Fe6O24
",127.740217
"Y6Ti2Zn2Fe6O24
",70.6664565
"Y6Zr2Zn2Fe6O24
",72.3673570833
"Y6Mn8Zn2O24
",77.0450205253
"Y6Hf2Mn6Zn2O24
",91.156936519
"Y6Mn6Nb2Zn2O24
",88.4608474773
"Y6Ta2Mn6Zn2O24
",80.9403347273
"Y6Ti2Mn6Zn2O24
",74.5855168107
"Y6Zr2Mn6Zn2O24
",83.809256644
"Y6Zn2Ni8O24
",228.914530895
"Y6Hf2Zn2Ni6O24
",187.427676662
"Y6Nb2Zn2Ni6O24
",165.793652358
"Y6Ta2Zn2Ni6O24
",156.941240858
"Y6Ti2Zn2Ni6O24
",174.631224037
"Y6Zr2Zn2Ni6O24
",187.51962462
"La1Y4Zn3Co8O24
",168.464956314
"La1Y4Zn3Fe8O24
",158.367409518
"La1Y4Mn8Zn3O24
",121.204438234
"La1Y4Zn3Ni8O24
",291.955557984
"Ba8Hf4Co4O24
",131.350152405
"Ba8Hf6Co2O24
",70.2166732026
"Ba8Hf7Co1O24
",45.7531836013
"Ba8Nb4Co4O24
",37.9332462026
"Ba8Nb7Co1O24
",45.073198625
"Ba8Ta4Co4O24
",21.6105345
"Ba8Ta6Co2O24
",58.9939170208
"Ba8Ta7Co1O24
",109.47390069
"Ba8Zr4Co4O24
",92.4493164052
"Ba8Zr6Co2O24
",28.9476692026
"Ba8Zr7Co1O24
",0.0
"Ba8Hf4Fe4O24
",63.0457358456
"Ba8Hf6Fe2O24
",38.7490899228
"Ba8Hf7Fe1O24
",23.5011419614
"Ba8Nb4Fe4O24
",24.184234
"Ba8Nb6Fe2O24
",24.8926086667
"Ba8Nb7Fe1O24
",25.66391325
"Ba8Ta4Fe4O24
",0.0
"Ba8Ta6Fe2O24
",121.571007147
"Ba8Ta7Fe1O24
",76.6050637187
"Ca8Fe8O24
",183.350687466
"Ba7Ca1Fe8O24
",97.8662705723
"Ba6Ca2Fe8O24
",118.303763453
"Ba4Ca4Fe8O24
",163.185749216
"Ba2Ca6Fe8O24
",171.608093341
"Ba7Ce1Fe8O24
",87.3132966495
"Ba6Ce2Fe8O24
",120.214815608
"Dy8Fe8O24
",390.4260105
"Ba7Dy1Fe8O24
",95.1442246079
"Ba6Dy2Fe8O24
",121.368421525
"Ba4Dy4Fe8O24
",236.177315358
"Ba2Dy6Fe8O24
",270.007912929
"Gd8Fe8O24
",293.7439885
"Ba7Gd1Fe8O24
",83.920796936
"Ba6Gd2Fe8O24
",98.5115661808
"Ba4Gd4Fe8O24
",108.66685467
"Ba2Gd6Fe8O24
",70.9734215852
"Ho8Fe8O24
",417.7519315
