,x values,analytical gaussian,model residuals
0,-5.0,1.4867195147342977e-06,0.00022563440466834506
1,-4.994169096209912,1.5306761164829087e-06,0.00023595611820457908
2,-4.988338192419825,1.5758787666816708e-06,0.00024658513317936837
3,-4.982507288629738,1.6223611435320857e-06,0.0002575207687923966
4,-4.97667638483965,1.6701577867500437e-06,0.00026876168560531326
5,-4.970845481049563,1.7193041182107108e-06,0.00028030585999689526
6,-4.965014577259475,1.7698364630499112e-06,0.00029215055982956706
7,-4.959183673469388,1.8217920712309626e-06,0.0003042923214797349
8,-4.9533527696793005,1.875209139586266e-06,0.0003167269283845305
9,-4.947521865889213,1.930126834342976e-06,0.00032944939125676277
10,-4.941690962099125,1.9865853141423765e-06,0.0003424539301183449
11,-4.9358600583090375,2.044625753562633e-06,0.000355733958299916
12,-4.930029154518951,2.104290367154765e-06,0.00036928206855101357
13,-4.924198250728863,2.1656224340019926e-06,0.0003830900214008464
14,-4.918367346938775,2.2286663228124456e-06,0.00039714873590442285
15,-4.912536443148688,2.2934675175558763e-06,0.00041144828290267646
16,-4.906705539358601,2.3600726436547154e-06,0.0004259778809180385
17,-4.900874635568513,2.4285294947403256e-06,0.0004407258947989112
18,-4.895043731778426,2.498887059985188e-06,0.00045567983721748
19,-4.889212827988338,2.571195552022308e-06,0.0004708263731155281
20,-4.88338192419825,2.645506435462899e-06,0.0004861513271821249
21,-4.877551020408164,2.7218724560238903e-06,0.0005016396944355685
22,-4.871720116618076,2.800347670276876e-06,0.0005172756539696323
23,-4.865889212827988,2.880987476030165e-06,0.0005330425859110656
24,-4.860058309037901,2.963848643356162e-06,0.0005489230916216352
25,-4.854227405247814,3.0489893462760566e-06,0.0005648990171635545
26,-4.848396501457726,3.136469195114323e-06,0.0005809514800323058
27,-4.8425655976676385,3.2263492695354724e-06,0.00059706089914541
28,-4.836734693877551,3.3186921522759684e-06,0.0006132070280600044
29,-4.830903790087463,3.413561963584182e-06,0.0006293689913759151
30,-4.825072886297376,3.511024396381519e-06,0.0006455253242646454
31,-4.819241982507289,3.611146752158273e-06,0.0006616540150482537
32,-4.813411078717201,3.7139979776174007e-06,0.000677732550735577
33,-4.807580174927113,3.819648702080498e-06,0.0006937379654069238
