,x values,analytical gaussian,model residuals
0,-5.0,1.4867195147342977e-06,0.0001468687480194833
1,-4.995335820895522,1.5217820401850943e-06,0.0001529320889199161
2,-4.990671641791045,1.5576375878260325e-06,0.00015917129575656076
3,-4.986007462686567,1.5943032640860326e-06,0.0001655875902278296
4,-4.981343283582089,1.631796524763881e-06,0.00017218199019237347
5,-4.976679104477612,1.6701351817153421e-06,0.0001789552995120503
6,-4.972014925373134,1.7093374096584436e-06,0.0001859080979981225
7,-4.967350746268656,1.7494217530986948e-06,0.00019304073149353492
8,-4.962686567164179,1.7904071333763526e-06,0.00020035330212500441
9,-4.958022388059701,1.8323128558375154e-06,0.00020784565875937378
10,-4.9533582089552235,1.875158617131e-06,0.00021551738769932366
11,-4.9486940298507465,1.9189645126330866e-06,0.00022336780365411974
12,-4.9440298507462686,1.9637510440020884e-06,0.00023139594102145728
13,-4.939365671641791,2.009539126864701e-06,0.00023960054551676763
14,-4.934701492537314,2.056350098636375e-06,0.0002479800661865671
15,-4.930037313432836,2.1042057264776753e-06,0.0002565326478424342
16,-4.925373134328359,2.1531282153887057e-06,0.00026525612395210033
17,-4.920708955223881,2.2031402164439654e-06,0.00027414801002396266
18,-4.916044776119403,2.254264835169526e-06,0.0002832054975208521
19,-4.911380597014926,2.3065256400649514e-06,0.0002924254483384503
20,-4.906716417910448,2.359946671272171e-06,0.00030180438988300443
21,-4.90205223880597,2.414552449393391e-06,0.0003113385107821516
22,-4.897388059701493,2.470367984460584e-06,0.00032102365726171254
23,-4.892723880597015,2.5274187850587726e-06,0.0003308553302201195
24,-4.888059701492537,2.585730867605337e-06,0.00034082868303082526
25,-4.88339552238806,2.6453307657879655e-06,0.0003509385201016279
26,-4.878731343283582,2.7062455401635507e-06,0.00036117929621817184
27,-4.874067164179104,2.768502787920351e-06,0.0003715451166971087
28,-4.869402985074627,2.8321306528061405e-06,0.00038202973837252896
29,-4.864738805970149,2.8971578352247166e-06,0.00039262657143714823
30,-4.860074626865671,2.963613602503236e-06,0.00040332868215752084
31,-4.855410447761194,3.031527799333124e-06,0.0004141287964802527
32,-4.850746268656716,3.100930858387079e-06,0.00042501930454365
33,-4.8460820895522385,3.171853811114713e-06,0.0004359922661066366
34,-4.8414179104477615,3.2443282987196836e-06,0.00044703941690410557
35,-4.836753731343284,3.31838658332093e-06,0.00045815217593498406
36,-4.832089552238806,3.3940615593006546e-06,0.0004693216536863699
37,-4.827425373134329,3.4713867648420115e-06,0.00048053866129413086
38,-4.822761194029851,3.550396393659222e-06,0.0004917937206372157
39,-4.818097014925373,3.6311253069228123e-06,0.0005030770753597611
40,-4.813432835820896,3.71360904538314e-06,0.0005143787028119243
41,-4.808768656716418,3.7978838416949213e-06,0.000525688326897058
42,-4.80410447761194,3.883986632945615e-06,0.0005369954318095545
43,-4.799440298507463,3.971955073390947e-06,0.0005482892766444463
44,-4.794776119402985,4.061827547400364e-06,0.0005595589108564823
45,-4.790111940298507,4.153643182615393e-06,0.0005707931905431125
46,-4.78544776119403,4.247441863324269e-06,0.0005819807955225983
47,-4.780783582089552,4.3432642440558295e-06,0.0005931102471751817
48,-4.776119402985074,4.441151763395598e-06,0.0006041699270120785
49,-4.771455223880597,4.541146658027717e-06,0.0006151480959340099
50,-4.766791044776119,4.643291977005614e-06,0.0006260329141379087
51,-4.762126865671642,4.747631596254698e-06,0.0006368124616275248
52,-4.757462686567164,4.85421023331072e-06,0.0006474747592809001
53,-4.752798507462686,4.963073462296603e-06,0.0006580077904249079
54,-4.748134328358209,5.074267729141656e-06,0.0006683995228646061
55,-4.7434701492537314,5.18784036704641e-06,0.0006786379313127049
56,-4.7388059701492535,5.30383961219626e-06,0.0006887110201622234
57,-4.7341417910447765,5.422314619727882e-06,0.0006986068465434253
58,-4.729477611940299,5.543315479951851e-06,0.0007083135436042081
59,-4.724813432835821,5.666893234834606e-06,0.0007178193439514788
60,-4.720149253731344,5.793099894744056e-06,0.0007271126031896465
61,-4.715485074626866,5.921988455462121e-06,0.0007361818234910979
62,-4.710820895522388,6.053612915467755e-06,0.0007450156771325214
63,-4.706156716417911,6.188028293494682e-06,0.0007536030299302395
64,-4.701492537313433,6.325290646367283e-06,0.0007619329645071409
65,-4.696828358208955,6.465457087118384e-06,0.0007699948033235362
66,-4.692164179104478,6.60858580339318e-06,0.0007777781314042884
67,-4.6875,6.754736076142956e-06,0.0007852728186947547
68,-4.682835820895522,6.903968298612519e-06,0.0007924690419785794
69,-4.678171641791045,7.056343995625522e-06,0.0007993573062911532
70,-4.673507462686567,7.211925843171651e-06,0.0008059284657635326
71,-4.668843283582089,7.370777688299627e-06,0.0008121737438328628
72,-4.664179104477612,7.532964569320299e-06,0.0008180847527569024
73,-4.659514925373134,7.698552736324174e-06,0.0008236535123719654
