x analytical,analytical gaussian,x residuals,model residuals
0.00011799446070979096,0.0001,0.0,0.0004662004662004662
0.00013798284566543753,0.0002,1.3229966500908086e-05,0.0009324009324009324
0.0002689943843375475,0.0003,0.0003852231376373723,0.0013986013986013986
0.00030622624788418675,0.0004,0.0005643880909970032,0.0018648018648018648
0.0004940752789427915,0.0005,0.0010250276611112827,0.002331002331002331
0.0006622630886903662,0.0006,0.0011205742742499162,0.002797202797202797
0.0008000778327955543,0.0007,0.0018607929841653824,0.0032634032634032634
0.0008015465077806888,0.0008,0.0020157141042436853,0.0037296037296037296
0.0008739229871540608,0.0009,0.0029636349920032184,0.004195804195804196
0.0010042025236035403,0.001,0.002969345524835151,0.004662004662004662
0.0011341231709814591,0.0011,0.0031512893257336426,0.005128205128205128
0.0012257031059759104,0.0012,0.003353358970234729,0.005594405594405594
0.0013155429230301136,0.0013,0.003872208804779231,0.006060606060606061
0.0013419695810354185,0.0014,0.003971232000817887,0.006526806526806527
0.0014644843834495389,0.0015,0.004863239104871847,0.006993006993006993
0.0016023233340232864,0.0016,0.005114058695579581,0.007459207459207459
0.0016119463366203763,0.0017,0.005126641356122354,0.007925407925407926
0.0018769686863891308,0.0018,0.00514461667065025,0.008391608391608392
0.002137198567106203,0.0019,0.005448559080703111,0.008857808857808859
0.002281166922683701,0.002,0.005450880411706318,0.009324009324009324
0.002341047697298566,0.0021,0.005689455023801551,0.009790209790209791
0.0024145634912536747,0.0022,0.006294247928969925,0.010256410256410256
0.0026017230454590643,0.0023,0.006407456849813534,0.010722610722610723
0.0026299142653207898,0.0024,0.006507146184824403,0.011188811188811189
0.0027542371116959343,0.0025,0.006926453629110362,0.011655011655011656
0.002766897237245776,0.0026,0.007130374954781824,0.012121212121212121
0.0029020450037397522,0.0027,0.009134046480490692,0.012587412587412588
0.003354006279689879,0.0028,0.00914634996347352,0.013053613053613054
0.0033747869202418266,0.0029,0.010172468939447621,0.01351981351981352
0.003393284931690378,0.003,0.010557312157890113,0.013986013986013986
0.003409058932133708,0.0031,0.01059035076721329,0.014452214452214453
0.00348686358935468,0.0032,0.011372019617932863,0.014918414918414918
0.0035296893477129924,0.0033,0.011662060234087867,0.015384615384615385
0.003667815011893452,0.0034,0.012003297202481408,0.015850815850815853
0.003687953964462368,0.0035,0.014239800140776715,0.016317016317016316
0.003917638201419047,0.0036,0.01588681061864129,0.016783216783216783
0.003949071800448916,0.0037,0.016351476055487372,0.01724941724941725
0.0040677355587932255,0.0038,0.016389800540307163,0.017715617715617717
0.00407533226814386,0.0039,0.016893907719055214,0.01818181818181818
0.004088087846662092,0.004,0.016952819917902533,0.018648018648018648
0.004091516587098164,0.0041,0.01783366737880174,0.019114219114219115
0.004101549743718829,0.0042,0.018564560456935164,0.019580419580419582
0.004168298253111991,0.0043,0.018845930076536822,0.020046620046620046
0.004296519703510677,0.0044,0.01895707241797783,0.020512820512820513
0.004557597251310538,0.0045,0.01942744730458388,0.02097902097902098
0.004582749414331811,0.0046,0.01982103939567934,0.021445221445221447
0.0048613136778347015,0.0047,0.02033301654637917,0.02191142191142191
0.00489602513744985,0.0048,0.020440445451550833,0.022377622377622378
0.0049034291573967,0.0049,0.02101922381994553,0.022843822843822845
0.0055676904382815666,0.005,0.021425606515380155,0.023310023310023312
0.005613551898961725,0.0051,0.021588731311000246,0.023776223776223775
0.005642112776013394,0.0052,0.021849896318592413,0.024242424242424242
0.005670280489238061,0.0053,0.02263795277050646,0.02470862470862471
0.005720893781457649,0.0054,0.02275635982887053,0.025174825174825177
0.005915379584805848,0.0055,0.023023732833038244,0.02564102564102564
0.006379029430028006,0.0056,0.0233292157998812,0.026107226107226107
0.006407810113211189,0.0057,0.024516040014676832,0.026573426573426574
0.0065702127112773675,0.0058,0.02481310706845621,0.02703962703962704
0.0067043034417953885,0.0059,0.024972401630705913,0.027505827505827505
0.0067632844007826775,0.006,0.025000344071111437,0.027972027972027972
0.006795146027386862,0.0061,0.025019745094388746,0.02843822843822844
0.006796531691358483,0.0062,0.02505254493557413,0.028904428904428906
0.006817850061034365,0.0063,0.025293591693168322,0.02937062937062937
0.006938096502811248,0.0064,0.025304195161655146,0.029836829836829837
0.0069436753403824,0.0065,0.025749104257336987,0.030303030303030304
0.006956426120113577,0.0066,0.02662331934048168,0.03076923076923077
0.006973766910717565,0.0067,0.02670790731828077,0.031235431235431235
0.007045676133831507,0.0068,0.026879611119829807,0.031701631701631705
0.00723353488772767,0.0069,0.02839361920079211,0.032167832167832165
0.007287077236960262,0.007,0.02882056654004315,0.03263403263403263
0.007493314533285985,0.0071,0.02897473688876472,0.0331002331002331
0.0076169223722001075,0.0072,0.02903272881788581,0.033566433566433566
0.007681616094837941,0.0073,0.029548060204508834,0.034032634032634033
0.007846633390569187,0.0074,0.029776026790612174,0.0344988344988345
0.007881778113307774,0.0075,0.02981213312795933,0.03496503496503497
0.00797152652066827,0.0076,0.030480441532544273,0.035431235431235435
0.008434482427475352,0.0077,0.03161998200520727,0.035897435897435895
0.008548499644638035,0.0078,0.031753640473583505,0.03636363636363636
0.008691912602221253,0.0079,0.03196738840673014,0.03682983682983683
0.00874789442485008,0.008,0.03222574894383169,0.037296037296037296
0.00916616977341718,0.0081,0.032902050745631226,0.03776223776223776
0.009347436896674796,0.0082,0.03308966274243101,0.03822843822843823
0.009551466885095505,0.0083,0.033375627423931964,0.0386946386946387
0.009598641403227925,0.0084,0.03439136233779248,0.039160839160839164
0.009643302079784557,0.0085,0.034536227477478136,0.039627039627039624
0.009667390941925993,0.0086,0.034875252926703626,0.04009324009324009
0.009695214665985072,0.0087,0.0360549875532309,0.04055944055944056
0.009954091977460234,0.0088,0.0361252384255638,0.041025641025641026
0.010024601124791234,0.0089,0.03618096347282262,0.04149184149184149
0.010063243048588556,0.009,0.036519927975397416,0.04195804195804196
0.010134702687743097,0.0091,0.037008867203550046,0.04242424242424243
0.010241547149462994,0.0092,0.037162690661389254,0.042890442890442894
0.010261813599486348,0.0093,0.037263129703721296,0.043356643356643354
0.010326352223780196,0.0094,0.037444619918108726,0.04382284382284382
0.010382194171042239,0.0095,0.037749406183427966,0.04428904428904429
0.010472195966221478,0.0096,0.03783484929776854,0.044755244755244755
0.010506203252710277,0.0097,0.03844288595718662,0.04522144522144522
0.01050998447356717,0.0098,0.03880976531121469,0.04568764568764569
0.010512863333552575,0.0099,0.039409484035098655,0.046153846153846156
0.010531956903174855,0.01,0.03950671711314588,0.046620046620046623
0.010557725365846248,0.0101,0.0409525412613968,0.047086247086247084
0.010591640914203272,0.0102,0.04097642605793372,0.04755244755244755
0.010661029948358644,0.0103,0.041544507164201654,0.04801864801864802
0.010808451438785074,0.0104,0.041653251993553145,0.048484848484848485
0.010833875549126723,0.0105,0.04192220279111365,0.04895104895104895
0.011401834257444768,0.0106,0.04197934324497115,0.04941724941724942
0.011516411105183677,0.0107,0.04207560623957072,0.049883449883449886
0.01158142447384233,0.0108,0.04208707703420261,0.05034965034965035
0.012098403360286725,0.0109,0.042224838925954265,0.05081585081585081
0.012142488307181972,0.011,0.042556781747388646,0.05128205128205128
0.012269346745105976,0.0111,0.04327934602466749,0.05174825174825175
0.012435805514096248,0.0112,0.043357352423626865,0.052214452214452214
0.012446102358210753,0.0113,0.04536711698748293,0.05268065268065268
0.01265740628603272,0.0114,0.04561051430063762,0.05314685314685315
0.012891696706180837,0.0115,0.045815793128304534,0.053613053613053616
0.012957129500851105,0.0116,0.04585840200019199,0.05407925407925408
0.01315728917730297,0.0117,0.04588093462693039,0.05454545454545454
0.01331991570782901,0.0118,0.046601881238187856,0.05501165501165501
0.013359214391934089,0.0119,0.04769486585715645,0.05547785547785548
0.013442666572714902,0.012,0.0477055955934231,0.055944055944055944
0.013519815076784196,0.0121,0.0481485753376366,0.05641025641025641
0.013530465894247662,0.0122,0.04819386822912161,0.05687645687645688
0.013557455687478336,0.0123,0.048295518615487296,0.057342657342657345
