,x values,analytical gaussian,model residuals
0,-5.0,1.4867195147342977e-06,5.7653542518430076e-15
1,-4.994169096209912,1.5306761164829087e-06,4.784721806498346e-15
2,-4.988338192419825,1.5758787666816708e-06,3.968232657902099e-15
3,-4.982507288629738,1.6223611435320857e-06,3.28887456775115e-15
4,-4.97667638483965,1.6701577867500437e-06,2.724000954044461e-15
5,-4.970845481049563,1.7193041182107108e-06,2.254638821622418e-15
6,-4.965014577259475,1.7698364630499112e-06,1.8649041518464844e-15
7,-4.959183673469388,1.8217920712309626e-06,1.5415084360077836e-15
8,-4.9533527696793005,1.875209139586266e-06,1.2733424545291014e-15
9,-4.947521865889213,1.930126834342976e-06,1.0511254727779102e-15
10,-4.941690962099125,1.9865853141423765e-06,8.671097931671093e-16
11,-4.9358600583090375,2.044625753562633e-06,7.148321144082355e-16
12,-4.930029154518951,2.104290367154765e-06,5.889044387645801e-16
13,-4.924198250728863,2.1656224340019926e-06,4.848383684030348e-16
14,-4.918367346938775,2.2286663228124456e-06,3.9889756959994963e-16
15,-4.912536443148688,2.2934675175558763e-06,3.27973981991686e-16
16,-4.906705539358601,2.3600726436547154e-06,2.694840293961153e-16
17,-4.900874635568513,2.4285294947403256e-06,2.2128166626488022e-16
18,-4.895043731778426,2.498887059985188e-06,1.8158558442227568e-16
19,-4.889212827988338,2.571195552022308e-06,1.4891832116259066e-16
20,-4.88338192419825,2.645506435462899e-06,1.2205536295701077e-16
21,-4.877551020408164,2.7218724560238903e-06,9.998263833964095e-17
22,-4.871720116618076,2.800347670276876e-06,8.186104702957907e-17
23,-4.865889212827988,2.880987476030165e-06,6.6996886871621e-17
24,-4.860058309037901,2.963848643356162e-06,5.481722161504181e-17
25,-4.854227405247814,3.0489893462760566e-06,4.484938591652999e-17
26,-4.848396501457726,3.136469195114323e-06,3.6703953534434477e-17
27,-4.8425655976676385,3.2263492695354724e-06,3.0060604134872e-17
28,-4.836734693877551,3.3186921522759684e-06,2.4656416577015578e-17
29,-4.830903790087463,3.413561963584182e-06,2.027619464880739e-17
30,-4.825072886297376,3.511024396381519e-06,1.6744497259189848e-17
31,-4.819241982507289,3.611146752158273e-06,1.391910100196867e-17
32,-4.813411078717201,3.7139979776174007e-06,1.1685670452569768e-17
33,-4.807580174927113,3.819648702080498e-06,9.953451969324175e-18
34,-4.801749271137027,3.92817127566951e-06,8.651841374958623e-18
35,-4.795918367346939,4.039639808278704e-06,7.727705756855083e-18
36,-4.790087463556851,4.154130209351093e-06,7.143365676775624e-18
37,-4.784256559766764,4.271720228474038e-06,6.8751671436700245e-18
38,-4.778425655976676,4.392489496808973e-06,6.912593512948161e-18
39,-4.772594752186589,4.516519569370052e-06,7.257886703843146e-18
40,-4.766763848396502,4.6438939681673736e-06,7.926165400075104e-18
41,-4.760932944606414,4.774698226229843e-06,8.946045818372056e-18
42,-4.755102040816326,4.909019932523893e-06,1.0360788786409e-17
43,-4.7492711370262395,5.046948777783633e-06,1.2230015867329372e-17
44,-4.743440233236152,5.188576601268941e-06,1.463205773025367e-17
45,-4.737609329446064,5.333997438467591e-06,1.7667020568855586e-17
46,-4.7317784256559765,5.483307569758382e-06,2.146068185290677e-17
47,-4.725947521865889,5.636605570052028e-06,2.616935588796782e-17
48,-4.720116618075802,5.793992359426931e-06,3.198590349543939e-17
49,-4.714285714285714,5.955571254777309e-06,3.9147099687367395e-17
50,-4.708454810495627,6.121448022491107e-06,4.794261974615364e-17
51,-4.702623906705539,6.2917309321757875e-06,5.872595908265219e-17
52,-4.696793002915452,6.466530811449964e-06,7.192766733708281e-17
53,-4.690962099125365,6.645961101819355e-06,8.807135439942662e-17
54,-4.685131195335277,6.830137915655318e-06,1.0779301770087315e-16
55,-4.679300291545189,7.0191800942953854e-06,1.3186434901873014e-16
56,-4.673469387755102,7.2132092672843884e-06,1.6122080838200108e-16
57,-4.667638483965015,7.412349912775825e-06,1.9699540627321392e-16
58,-4.661807580174927,7.6167294191131115e-06,2.4055931767429274e-16
59,-4.65597667638484,7.826478147610177e-06,2.935706678674309e-16
60,-4.650145772594752,8.041729496552217e-06,3.58033086465933e-16
61,-4.644314868804665,8.262619966436364e-06,4.363659301823198e-16
62,-4.6384839650145775,8.489289226473556e-06,5.314884348715738e-16
63,-4.63265306122449,8.721880182371617e-06,6.469204834169293e-16
64,-4.626822157434402,8.960539045421942e-06,7.869031797737475e-16
65,-4.6209912536443145,9.205415402910182e-06,9.565430146722283e-16
66,-4.615160349854228,9.456662289873194e-06,1.161984111152111e-15
67,-4.60932944606414,9.714436262224351e-06,1.4106138670198744e-15
68,-4.603498542274052,9.978897471268886e-06,1.7113082883860057e-15
69,-4.597667638483965,1.025020973963258e-05,2.074724459218919e-15
70,-4.591836734693878,1.0528540638625868e-05,2.5136489461360267e-15
71,-4.58600583090379,1.0814061567067345e-05,3.043412530151811e-15
72,-4.580174927113703,1.110694783158883e-05,3.682383528202582e-15
73,-4.574344023323615,1.1407378728446864e-05,4.4525541639348826e-15
74,-4.568513119533527,1.1715537626863803e-05,5.380237024026015e-15
75,-4.562682215743441,1.2031612053922829e-05,6.49689165652558e-15
76,-4.556851311953353,1.2355793781041805e-05,7.84010490478958e-15
77,-4.551020408163265,1.2688278912049822e-05,9.454752709584573e-15
78,-4.545189504373178,1.3029267972892608e-05,1.139437595135325e-14
79,-4.539358600583091,1.3378966002991158e-05,1.3722808558308923e-14
80,-4.533527696793003,1.3737582648280028e-05,1.651610270556743e-14
81,-4.5276967930029155,1.4105332255950252e-05,1.9864803627791857e-14
82,-4.521865889212828,1.448243397092392e-05,2.3876635538037972e-14
83,-4.51603498542274,1.486911183408651e-05,2.86796705904458e-14
84,-4.510204081632653,1.5265594882303625e-05,3.4426064976550434e-14
85,-4.504373177842566,1.5672117250249493e-05,4.129646037151437e-14
86,-4.498542274052478,1.608891827407402e-05,4.950516535460186e-14
87,-4.49271137026239,1.6516242596936618e-05,5.93062504703453e-14
88,-4.486880466472304,1.695434027643429e-05,7.100071267732283e-14
89,-4.481049562682216,1.7403466893952546e-05,8.494489051372602e-14
90,-4.475218658892128,1.786388366596665e-05,1.0156034092318692e-13
91,-4.469387755102041,1.8335857557323414e-05,1.2134542293741675e-13
92,-4.463556851311953,1.881966139653126e-05,1.4488887299692059e-13
93,-4.457725947521866,1.9315573993088588e-05,1.7288570239871447e-13
94,-4.451895043731779,1.982388025688011e-05,2.0615580009266533e-13
95,-4.446064139941691,2.0344871319669983e-05,2.456656848334745e-13
96,-4.440233236151603,2.087884465872357e-05,2.9255392070364757e-13
97,-4.4344023323615165,2.142610422258687e-05,3.4816079058353657e-13
98,-4.428571428571429,2.1986960559055266e-05,4.1406291476931874e-13
99,-4.422740524781341,2.2561730945361594e-05,4.921136083423906e-13
100,-4.4169096209912535,2.3150739520615972e-05,5.844898930188376e-13
101,-4.411078717201166,2.375431742052824e-05,6.937472192555381e-13
102,-4.405247813411079,2.4372802914444885e-05,8.228831148517057e-13
103,-4.399416909620991,2.5006541544732954e-05,9.754111599756668e-13
104,-4.393586005830904,2.565588626854257e-05,1.155446898644229e-12
105,-4.387755102040816,2.6321197601981586e-05,1.367807536772429e-12
106,-4.381924198250729,2.7002843766734752e-05,1.6181275510315743e-12
107,-4.376093294460642,2.770120083916116e-05,1.9129926454521636e-12
108,-4.370262390670554,2.841665290190184e-05,2.2600948490945554e-12
109,-4.364431486880466,2.9149592198033658e-05,2.6684119539294066e-12
110,-4.358600583090379,2.9900419287801302e-05,3.1484149537592022e-12
111,-4.352769679300292,3.0669543207962824e-05,3.7123076697960406e-12
112,-4.346938775510204,3.145738163378319e-05,4.3743033444708085e-12
113,-4.341107871720117,3.226436104370904e-05,5.150943661222511e-12
114,-4.335276967930029,3.309091688676215e-05,6.061466414510464e-12
115,-4.329446064139942,3.393749375268475e-05,7.1282289223627875e-12
116,-4.3236151603498545,3.480454554487335e-05,8.377195255996403e-12
117,-4.317784256559767,3.5692535656135526e-05,9.838496471385866e-12
118,-4.311953352769679,3.660193714730718e-05,1.154707428169064e-11
119,-4.3061224489795915,3.7533232928765375e-05,1.3543420024423127e-11
120,-4.300291545189505,3.848691594487325e-05,1.587442237234159e-11
121,-4.294460641399417,3.9463489361394185e-05,1.85943390335084e-11
122,-4.288629737609329,4.046346675591081e-05,2.1765909707264976e-11
123,-4.282798833819242,4.148737231128746e-05,2.5461629835060172e-11
124,-4.276967930029155,4.253574101221218e-05,2.976520723677317e-11
