composition,energy,atoms,e_per_atom,oxides,oxide_e_per_atom,e_per_atom-sum(oxide_e_per_atom)
Sc4Mn4O24La8,-336.46179,40.0,-8.411544750000001,"['Sc-O', 'Mn-O', 'La-O']",-25.3192208985,16.9076761485
Sc7Ni1O24La8,-340.36173,40.0,-8.509043250000001,"['Sc-O', 'Ni-O', 'La-O']",-22.3203765885,13.811333338499999
Sc6Ni2O24La8,-329.20933,40.0,-8.230233250000001,"['Sc-O', 'Ni-O', 'La-O']",-22.3203765885,14.090143338499999
Sc4Ni4O24La8,-307.45996,40.0,-7.686499,"['Sc-O', 'Ni-O', 'La-O']",-22.3203765885,14.633877588499999
Sc8O24La8,-351.46548,40.0,-8.786637,"['Sc-O', 'La-O']",-17.4629524085,8.6763154085
Ti8Ba2O24La6,-342.88517,40.0,-8.57212925,"['Ti-O', 'Ba-O', 'La-O']",-23.336073009000003,14.763943759000004
Ti8Ba4O24La4,-335.24748,40.0,-8.381187,"['Ti-O', 'Ba-O', 'La-O']",-23.336073009000003,14.954886009000003
Ca2Ti8O24La6,-344.0362,40.0,-8.600905000000001,"['Ca-O', 'Ti-O', 'La-O']",-23.861742074000002,15.260837074000001
Ca4Ti8O24La4,-337.75978,40.0,-8.443994499999999,"['Ca-O', 'Ti-O', 'La-O']",-23.861742074000002,15.417747574000003
Dy2Ti8O24La6,-348.65513,40.0,-8.71637825,"['Dy-O', 'Ti-O', 'La-O']",-25.831384934,17.115006684
Dy4Ti8O24La4,-347.93794,40.0,-8.698448500000001,"['Dy-O', 'Ti-O', 'La-O']",-25.831384934,17.132936433999998
Gd2Ti8O24La6,-367.83923,40.0,-9.19598075,"['Gd-O', 'Ti-O', 'La-O']",-29.507021717,20.311040967
Gd4Ti8O24La4,-385.91859,40.0,-9.64796475,"['Gd-O', 'Ti-O', 'La-O']",-29.507021717,19.859056967
Ti8Ho2O24La6,-348.55151,40.0,-8.71378775,"['Ti-O', 'Ho-O', 'La-O']",-25.8456888745,17.131901124499997
Ti8Ho4O24La4,-347.89337,40.0,-8.69733425,"['Ti-O', 'Ho-O', 'La-O']",-25.8456888745,17.148354624499998
Ti8Nd2O24La6,-348.83793,40.0,-8.72094825,"['Ti-O', 'Nd-O', 'La-O']",-25.6677974685,16.946849218500002
Ti8Nd4O24La4,-347.72876,40.0,-8.693219000000001,"['Ti-O', 'Nd-O', 'La-O']",-25.6677974685,16.9745784685
Ti8O24Sm2La6,-348.77832,40.0,-8.719458,"['Ti-O', 'Sm-O', 'La-O']",-25.72838457775,17.00892657775
Ti8O24Sm4La4,-347.75409,40.0,-8.69385225,"['Ti-O', 'Sm-O', 'La-O']",-25.72838457775,17.03453232775
Sr2Ti8O24La6,-343.47051,40.0,-8.58676275,"['Sr-O', 'Ti-O', 'La-O']",-23.474803714,14.888040964
Sr4Ti8O24La4,-336.4817,40.0,-8.4120425,"['Sr-O', 'Ti-O', 'La-O']",-23.474803714,15.062761214
Ti7Co1O24La8,-344.47639,40.0,-8.611909749999999,"['Ti-O', 'Co-O', 'La-O']",-23.502713829,14.890804079000002
Ti6Co2O24La8,-338.83656,40.0,-8.470914,"['Ti-O', 'Co-O', 'La-O']",-23.502713829,15.031799829
Ti4Co4O24La8,-327.17397,40.0,-8.17934925,"['Ti-O', 'Co-O', 'La-O']",-23.502713829,15.323364579000001
Cr1Ti7O24La8,-347.26474,40.0,-8.6816185,"['Cr-O', 'Ti-O', 'La-O']",-25.361499863,16.679881363
Cr2Ti6O24La8,-344.58932,40.0,-8.614733,"['Cr-O', 'Ti-O', 'La-O']",-25.361499863,16.746766862999998
Cr4Ti4O24La8,-340.24756,40.0,-8.506189000000001,"['Cr-O', 'Ti-O', 'La-O']",-25.361499863,16.855310863
Ti7Fe1O24La8,-345.35372,40.0,-8.633843,"['Ti-O', 'Fe-O', 'La-O']",-24.139340721000003,15.505497721000003
Ti6Fe2O24La8,-340.73758,40.0,-8.5184395,"['Ti-O', 'Fe-O', 'La-O']",-24.139340721000003,15.620901221000004
Ti4Fe4O24La8,-331.65694,40.0,-8.2914235,"['Ti-O', 'Fe-O', 'La-O']",-24.139340721000003,15.847917221000003
Mg1Ti7O24La8,-344.20929,40.0,-8.60523225,"['Mg-O', 'Ti-O', 'La-O']",-23.406521259,14.801289009000001
Mg2Ti6O24La8,-338.35554,40.0,-8.4588885,"['Mg-O', 'Ti-O', 'La-O']",-23.406521259,14.947632759000001
Mg4Ti4O24La8,-326.59891,40.0,-8.16497275,"['Mg-O', 'Ti-O', 'La-O']",-23.406521259,15.241548509000001
Ti7O24Mn1La8,-347.58583,40.0,-8.68964575,"['Ti-O', 'Mn-O', 'La-O']",-25.278768984000003,16.589123234000002
Ti6O24Mn2La8,-345.15912,40.0,-8.628978,"['Ti-O', 'Mn-O', 'La-O']",-25.278768984000003,16.649790984000003
Ti4O24Mn4La8,-340.96971,40.0,-8.52424275,"['Ti-O', 'Mn-O', 'La-O']",-25.278768984000003,16.754526234000004
Ni1Ti7O24La8,-341.79686,40.0,-8.5449215,"['Ni-O', 'Ti-O', 'La-O']",-22.279924674,13.735003174000001
Ni2Ti6O24La8,-332.88995,40.0,-8.32224875,"['Ni-O', 'Ti-O', 'La-O']",-22.279924674,13.957675924
Ni4Ti4O24La8,-316.88026,40.0,-7.9220065,"['Ni-O', 'Ti-O', 'La-O']",-22.279924674,14.357918174
Ti8O24La8,-349.94867,40.0,-8.74871675,"['Ti-O', 'La-O']",-17.422500494,8.673783744000001
V8Ba2O24La6,-319.73643,40.0,-7.99341075,"['V-O', 'Ba-O', 'La-O']",-22.350828438249998,14.357417688249999
V8Ba4O24La4,-308.97322,40.0,-7.724330500000001,"['V-O', 'Ba-O', 'La-O']",-22.350828438249998,14.626497938249997
Ca2V8O24La6,-321.01508,40.0,-8.025377,"['Ca-O', 'V-O', 'La-O']",-22.87649750325,14.85112050325
Ca4V8O24La4,-312.18901,40.0,-7.80472525,"['Ca-O', 'V-O', 'La-O']",-22.87649750325,15.07177225325
V8Dy2O24La6,-329.39846,40.0,-8.2349615,"['V-O', 'Dy-O', 'La-O']",-24.84614036325,16.61117886325
V8Dy4O24La4,-328.94616,40.0,-8.223654,"['V-O', 'Dy-O', 'La-O']",-24.84614036325,16.62248636325
V8Gd2O24La6,-364.89102,40.0,-9.1222755,"['V-O', 'Gd-O', 'La-O']",-28.52177714625,19.39950164625
V8Gd4O24La4,-383.23372,40.0,-9.580843,"['V-O', 'Gd-O', 'La-O']",-28.52177714625,18.94093414625
V8Ho2O24La6,-329.29411,40.0,-8.23235275,"['V-O', 'Ho-O', 'La-O']",-24.86044430375,16.62809155375
V8Ho4O24La4,-328.88505,40.0,-8.222126249999999,"['V-O', 'Ho-O', 'La-O']",-24.86044430375,16.63831805375
V8Nd2O24La6,-329.30228,40.0,-8.232557,"['V-O', 'Nd-O', 'La-O']",-24.68255289775,16.44999589775
V8Nd4O24La4,,40.0,,"['V-O', 'Nd-O', 'La-O']",-24.68255289775,
V8O24Sm2La6,-329.36102,40.0,-8.2340255,"['V-O', 'Sm-O', 'La-O']",-24.743140007,16.509114507
V8O24Sm4La4,-328.65805,40.0,-8.21645125,"['V-O', 'Sm-O', 'La-O']",-24.743140007,16.526688757000002
Sr2V8O24La6,-320.41358,40.0,-8.0103395,"['Sr-O', 'V-O', 'La-O']",-22.48955914325,14.479219643249998
Sr4V8O24La4,-310.58851,40.0,-7.764712749999999,"['Sr-O', 'V-O', 'La-O']",-22.48955914325,14.724846393249999
V7Co1O24La8,-324.99476,40.0,-8.124869,"['V-O', 'Co-O', 'La-O']",-22.51746925825,14.392600258249999
V6Co2O24La8,-320.51899,40.0,-8.01297475,"['V-O', 'Co-O', 'La-O']",-22.51746925825,14.50449450825
V4Co4O24La8,-312.34149,40.0,-7.8085372500000005,"['V-O', 'Co-O', 'La-O']",-22.51746925825,14.708932008249999
Cr1V7O24La8,-329.9202,40.0,-8.248005000000001,"['Cr-O', 'V-O', 'La-O']",-24.37625529225,16.12825029225
Cr2V6O24La8,-329.21043,40.0,-8.23026075,"['Cr-O', 'V-O', 'La-O']",-24.37625529225,16.14599454225
Cr4V4O24La8,-328.71832,40.0,-8.217958,"['Cr-O', 'V-O', 'La-O']",-24.37625529225,16.15829729225
V7Fe1O24La8,-326.81881,40.0,-8.17047025,"['V-O', 'Fe-O', 'La-O']",-23.15409615025,14.983625900249999
V6Fe2O24La8,-323.4192,40.0,-8.08548,"['V-O', 'Fe-O', 'La-O']",-23.15409615025,15.068616150249998
V4Fe4O24La8,-316.9001,40.0,-7.9225025,"['V-O', 'Fe-O', 'La-O']",-23.15409615025,15.231593650249998
Mg1V7O24La8,-340.90456,40.0,-8.522614,"['Mg-O', 'V-O', 'La-O']",-22.42127668825,13.898662688249999
Mg2V6O24La8,-334.54831,40.0,-8.36370775,"['Mg-O', 'V-O', 'La-O']",-22.42127668825,14.05756893825
Mg4V4O24La8,-321.88187,40.0,-8.04704675,"['Mg-O', 'V-O', 'La-O']",-22.42127668825,14.37422993825
V7Mn1O24La8,-327.12418,40.0,-8.1781045,"['V-O', 'Mn-O', 'La-O']",-24.293524413249997,16.115419913249998
V6Mn2O24La8,-328.13041,40.0,-8.20326025,"['V-O', 'Mn-O', 'La-O']",-24.293524413249997,16.090264163249998
V4Mn4O24La8,-324.59743,40.0,-8.114935749999999,"['V-O', 'Mn-O', 'La-O']",-24.293524413249997,16.178588663249997
Ni1V7O24La8,-322.75174,40.0,-8.0687935,"['Ni-O', 'V-O', 'La-O']",-21.29468010325,13.225886603249998
Ni2V6O24La8,-315.01309,40.0,-7.87532725,"['Ni-O', 'V-O', 'La-O']",-21.29468010325,13.419352853249999
Ni4V4O24La8,-301.33998,40.0,-7.5334995000000005,"['Ni-O', 'V-O', 'La-O']",-21.29468010325,13.761180603249997
V8O24La8,-330.17166,40.0,-8.254291499999999,"['V-O', 'La-O']",-16.43725592325,8.18296442325
Pr4Co4Hf4Ba4O24,-312.86035,40.0,-7.82150875,"['Pr-O', 'Co-O', 'Hf-O', 'Ba-O']",-30.377131769166667,22.555623019166667
Pr4Co2Hf6Ba4O24,-339.80246,40.0,-8.4950615,"['Pr-O', 'Co-O', 'Hf-O', 'Ba-O']",-30.377131769166667,21.882070269166668
Pr4Co1Hf7Ba4O24,-345.8357,40.0,-8.645892499999999,"['Pr-O', 'Co-O', 'Hf-O', 'Ba-O']",-30.377131769166667,21.731239269166668
Pr4Nb4Co4Ba4O24,-308.8425,40.0,-7.7210624999999995,"['Pr-O', 'Nb-O', 'Co-O', 'Ba-O']",-29.665382153333333,21.944319653333334
Pr4Nb6Co2Ba4O24,-318.6771,40.0,-7.9669275,"['Pr-O', 'Nb-O', 'Co-O', 'Ba-O']",-29.665382153333333,21.698454653333332
Pr4Nb7Co1Ba4O24,-325.90281,40.0,-8.14757025,"['Pr-O', 'Nb-O', 'Co-O', 'Ba-O']",-29.665382153333333,21.51781190333333
Pr4Co4Ba4O24Ta4,-320.10004,40.0,-8.002500999999999,"['Pr-O', 'Co-O', 'Ba-O', 'Ta-O']",-29.963675442142858,21.96117444214286
Pr4Co2Ba4O24Ta6,-333.10482,40.0,-8.3276205,"['Pr-O', 'Co-O', 'Ba-O', 'Ta-O']",-29.963675442142858,21.636054942142856
Pr4Co1Ba4O24Ta7,-340.48245,40.0,-8.512061249999999,"['Pr-O', 'Co-O', 'Ba-O', 'Ta-O']",-29.963675442142858,21.45161419214286
Pr4O24Co4Ba4Zr4,-305.15026,40.0,-7.6287565,"['Pr-O', 'Co-O', 'Ba-O', 'Zr-O']",-29.702242236666663,22.07348573666666
Pr4O24Co2Ba4Zr6,-327.79888,40.0,-8.194972,"['Pr-O', 'Co-O', 'Ba-O', 'Zr-O']",-29.702242236666663,21.507270236666663
Pr4O24Co1Ba4Zr7,-332.84739,40.0,-8.32118475,"['Pr-O', 'Co-O', 'Ba-O', 'Zr-O']",-29.702242236666663,21.381057486666663
Pr4Hf4Ba4O24Fe4,-325.51415,40.0,-8.13785375,"['Pr-O', 'Hf-O', 'Ba-O', 'Fe-O']",-31.013758661166662,22.875904911166664
Pr4Hf6Ba4O24Fe2,-338.48942,40.0,-8.4622355,"['Pr-O', 'Hf-O', 'Ba-O', 'Fe-O']",-31.013758661166662,22.551523161166664
Pr4Hf7Ba4O24Fe1,-345.85879,40.0,-8.64646975,"['Pr-O', 'Hf-O', 'Ba-O', 'Fe-O']",-31.013758661166662,22.36728891116666
Pr4Nb4Ba4O24Fe4,-313.57743,40.0,-7.83943575,"['Pr-O', 'Nb-O', 'Ba-O', 'Fe-O']",-30.302009045333328,22.46257329533333
Pr4Nb6Ba4O24Fe2,-321.257,40.0,-8.031425,"['Pr-O', 'Nb-O', 'Ba-O', 'Fe-O']",-30.302009045333328,22.27058404533333
Pr4Nb7Ba4O24Fe1,-326.5408,40.0,-8.16352,"['Pr-O', 'Nb-O', 'Ba-O', 'Fe-O']",-30.302009045333328,22.13848904533333
Pr4Fe4Ba4O24Ta4,-325.11551,40.0,-8.12788775,"['Pr-O', 'Fe-O', 'Ba-O', 'Ta-O']",-30.60030233414286,22.47241458414286
Pr4Fe2Ba4O24Ta6,-334.47391,40.0,-8.361847749999999,"['Pr-O', 'Fe-O', 'Ba-O', 'Ta-O']",-30.60030233414286,22.23845458414286
Pr4Fe1Ba4O24Ta7,-340.45965,40.0,-8.51149125,"['Pr-O', 'Fe-O', 'Ba-O', 'Ta-O']",-30.60030233414286,22.08881108414286
Pr4O24Ba4Zr4Fe4,-311.0053,40.0,-7.7751325,"['Pr-O', 'Ba-O', 'Zr-O', 'Fe-O']",-30.338869128666666,22.563736628666668
Pr4O24Ba4Zr6Fe2,-323.9412,40.0,-8.09853,"['Pr-O', 'Ba-O', 'Zr-O', 'Fe-O']",-30.338869128666666,22.240339128666665
Pr4O24Ba4Zr7Fe1,-332.94771,40.0,-8.32369275,"['Pr-O', 'Ba-O', 'Zr-O', 'Fe-O']",-30.338869128666666,22.015176378666666
Pr4Ni4Hf4Ba4O24,-297.11783,40.0,-7.427945750000001,"['Pr-O', 'Ni-O', 'Hf-O', 'Ba-O']",-29.154342614166666,21.726396864166666
Pr4Ni2Hf6Ba4O24,-331.29044,40.0,-8.282261,"['Pr-O', 'Ni-O', 'Hf-O', 'Ba-O']",-29.154342614166666,20.872081614166667
Pr4Ni1Hf7Ba4O24,-342.47116,40.0,-8.561779,"['Pr-O', 'Ni-O', 'Hf-O', 'Ba-O']",-29.154342614166666,20.592563614166664
Pr4Ni4Nb4Ba4O24,-295.42332,40.0,-7.385583,"['Pr-O', 'Ni-O', 'Nb-O', 'Ba-O']",-28.442592998333332,21.05700999833333
Pr4Ni2Nb6Ba4O24,-312.71785,40.0,-7.81794625,"['Pr-O', 'Ni-O', 'Nb-O', 'Ba-O']",-28.442592998333332,20.624646748333333
Pr4Ni1Nb7Ba4O24,-322.39094,40.0,-8.0597735,"['Pr-O', 'Ni-O', 'Nb-O', 'Ba-O']",-28.442592998333332,20.382819498333333
Pr4Ni4Ba4O24Ta4,-307.15883,40.0,-7.67897075,"['Pr-O', 'Ni-O', 'Ba-O', 'Ta-O']",-28.740886287142857,21.061915537142855
Pr4Ni2Ba4O24Ta6,-327.13513,40.0,-8.17837825,"['Pr-O', 'Ni-O', 'Ba-O', 'Ta-O']",-28.740886287142857,20.562508037142855
Pr4Ni1Ba4O24Ta7,-338.14359,40.0,-8.45358975,"['Pr-O', 'Ni-O', 'Ba-O', 'Ta-O']",-28.740886287142857,20.287296537142858
Pr4Ni4O24Ba4Zr4,-289.78147,40.0,-7.24453675,"['Pr-O', 'Ni-O', 'Ba-O', 'Zr-O']",-28.479453081666662,21.23491633166666
Pr4Ni2O24Ba4Zr6,-319.72664,40.0,-7.9931659999999995,"['Pr-O', 'Ni-O', 'Ba-O', 'Zr-O']",-28.479453081666662,20.486287081666664
Pr4Ni1O24Ba4Zr7,-329.39652,40.0,-8.234913,"['Pr-O', 'Ni-O', 'Ba-O', 'Zr-O']",-28.479453081666662,20.244540081666663
Pr6Co8Ba2O24,-271.78552,40.0,-6.794638000000001,"['Pr-O', 'Co-O', 'Ba-O']",-20.197689824999998,13.403051824999997
Pr4Co8Ba4O24,-259.04623,40.0,-6.476155749999999,"['Pr-O', 'Co-O', 'Ba-O']",-20.197689824999998,13.721534074999997
Pr6Ca2Co8O24,-273.26289,40.0,-6.831572250000001,"['Pr-O', 'Ca-O', 'Co-O']",-20.72335889,13.89178664
Pr4Ca4Co8O24,-262.60748,40.0,-6.565187,"['Pr-O', 'Ca-O', 'Co-O']",-20.72335889,14.15817189
Pr6Co8O24Dy2,-284.07153,40.0,-7.10178825,"['Pr-O', 'Co-O', 'Dy-O']",-22.69300175,15.5912135
Pr4Co8O24Dy4,-284.98451,40.0,-7.12461275,"['Pr-O', 'Co-O', 'Dy-O']",-22.69300175,15.568389
Pr6Gd2Co8O24,-318.44954,40.0,-7.9612385,"['Pr-O', 'Gd-O', 'Co-O']",-26.368638533,18.407400033
Gd4Co8Ba4O24,-50.409159,40.0,-1.260228975,"['Gd-O', 'Co-O', 'Ba-O']",-24.078307072999998,22.818078097999997
Pr4Gd4Co8O24,-331.2112,40.0,-8.280280000000001,"['Pr-O', 'Gd-O', 'Co-O']",-26.368638533,18.088358532999997
Pr6Co8Ho2O24,-284.16635,40.0,-7.104158750000001,"['Pr-O', 'Co-O', 'Ho-O']",-22.7073056905,15.6031469405
Pr4Co8Ho4O24,-284.86583,40.0,-7.121645750000001,"['Pr-O', 'Co-O', 'Ho-O']",-22.7073056905,15.5856599405
Pr6Co8Nd2O24,-284.17426,40.0,-7.1043565,"['Pr-O', 'Co-O', 'Nd-O']",-22.5294142845,15.4250577845
Pr4Co8Nd4O24,-284.37008,40.0,-7.109252,"['Pr-O', 'Co-O', 'Nd-O']",-22.5294142845,15.4201622845
Pr6Co8O24Sm2,-283.56612,40.0,-7.0891530000000005,"['Pr-O', 'Co-O', 'Sm-O']",-22.59000139375,15.500848393750001
Sr4Co8O24Sm4,-260.73907,40.0,-6.5184767500000005,"['Sr-O', 'Co-O', 'Sm-O']",-20.43840063875,13.919923888749999
Pr4Co8O24Sm4,-284.585,40.0,-7.114624999999999,"['Pr-O', 'Co-O', 'Sm-O']",-22.59000139375,15.47537639375
Pr6Sr2Co8O24,-272.55404,40.0,-6.813851,"['Pr-O', 'Sr-O', 'Co-O']",-20.336420529999998,13.522569529999998
Pr4Sr4Co8O24,-260.59253,40.0,-6.5148132500000004,"['Pr-O', 'Sr-O', 'Co-O']",-20.336420529999998,13.821607279999998
Pr8Cr1Co7O24,-288.952,40.0,-7.2238,"['Pr-O', 'Cr-O', 'Co-O']",-22.223116678999997,14.999316678999996
Pr8Cr2Co6O24,-293.55844,40.0,-7.338961,"['Pr-O', 'Cr-O', 'Co-O']",-22.223116678999997,14.884155678999996
Pr8Cr4Co4O24,-303.95579,40.0,-7.5988947499999995,"['Pr-O', 'Cr-O', 'Co-O']",-22.223116678999997,14.624221928999997
Pr8Co7Fe1O24,-285.2317,40.0,-7.1307925,"['Pr-O', 'Co-O', 'Fe-O']",-21.000957536999998,13.870165036999998
Pr8Co6Fe2O24,-287.42719,40.0,-7.18567975,"['Pr-O', 'Co-O', 'Fe-O']",-21.000957536999998,13.815277786999998
Pr8Co4Fe4O24,-291.14739,40.0,-7.278684749999999,"['Pr-O', 'Co-O', 'Fe-O']",-21.000957536999998,13.722272786999998
Pr8Mg1Co7O24,-297.6425,40.0,-7.441062499999999,"['Pr-O', 'Mg-O', 'Co-O']",-20.268138075,12.827075575
Pr8Mg2Co6O24,-295.67916,40.0,-7.391979000000001,"['Pr-O', 'Mg-O', 'Co-O']",-20.268138075,12.876159074999999
Pr8Mg4Co4O24,-291.60151,40.0,-7.290037750000001,"['Pr-O', 'Mg-O', 'Co-O']",-20.268138075,12.978100325
Pr8Mn1Co7O24,-288.06289,40.0,-7.20157225,"['Pr-O', 'Mn-O', 'Co-O']",-22.1403858,14.93881355
Pr8Mn2Co6O24,-292.0839,40.0,-7.3020975,"['Pr-O', 'Mn-O', 'Co-O']",-22.1403858,14.8382883
Pr8Mn4Co4O24,-301.72507,40.0,-7.543126750000001,"['Pr-O', 'Mn-O', 'Co-O']",-22.1403858,14.59725905
Pr8Ni1Co7O24,-281.0252,40.0,-7.02563,"['Pr-O', 'Ni-O', 'Co-O']",-19.141541489999998,12.115911489999998
Pr8Ni2Co6O24,-278.5979,40.0,-6.964947499999999,"['Pr-O', 'Ni-O', 'Co-O']",-19.141541489999998,12.176593989999999
Pr8Ni4Co4O24,-270.65883,40.0,-6.766470750000001,"['Pr-O', 'Ni-O', 'Co-O']",-19.141541489999998,12.375070739999998
Pr8Co8O24,-284.07149,40.0,-7.101787249999999,"['Pr-O', 'Co-O']",-14.28411731,7.18233006
Pr6Cr8Ba2O24,-311.64314,40.0,-7.7910785,"['Pr-O', 'Cr-O', 'Ba-O']",-22.056475858999995,14.265397358999994
Pr4Cr8Ba4O24,-299.10388,40.0,-7.477597,"['Pr-O', 'Cr-O', 'Ba-O']",-22.056475858999995,14.578878858999996
Pr6Cr8Ca2O24,-313.50679,40.0,-7.837669750000001,"['Pr-O', 'Cr-O', 'Ca-O']",-22.582144923999998,14.744475173999998
Pr4Cr8Ca4O24,-303.21086,40.0,-7.5802715,"['Pr-O', 'Cr-O', 'Ca-O']",-22.582144923999998,15.001873423999998
Pr6Cr8O24Dy2,-324.69241,40.0,-8.11731025,"['Pr-O', 'Cr-O', 'Dy-O']",-24.551787784,16.434477534
Pr4Cr8O24Dy4,-325.30058,40.0,-8.132514500000001,"['Pr-O', 'Cr-O', 'Dy-O']",-24.551787784,16.419273284
Pr6Cr8Gd2O24,-360.38784,40.0,-9.009696,"['Pr-O', 'Cr-O', 'Gd-O']",-28.227424566999996,19.217728566999995
Pr4Cr8Gd4O24,-379.39016,40.0,-9.484753999999999,"['Pr-O', 'Cr-O', 'Gd-O']",-28.227424566999996,18.742670566999998
Pr6Cr8Ho2O24,-324.65555,40.0,-8.11638875,"['Pr-O', 'Cr-O', 'Ho-O']",-24.566091724499998,16.4497029745
Pr4Cr8Ho4O24,-325.28026,40.0,-8.1320065,"['Pr-O', 'Cr-O', 'Ho-O']",-24.566091724499998,16.4340852245
Pr6Cr8Nd2O24,-324.48137,40.0,-8.11203425,"['Pr-O', 'Cr-O', 'Nd-O']",-24.388200318499997,16.276166068499997
Pr4Cr8Nd4O24,-324.62703,40.0,-8.11567575,"['Pr-O', 'Cr-O', 'Nd-O']",-24.388200318499997,16.272524568499996
Pr6Cr8O24Sm2,-324.57978,40.0,-8.114494500000001,"['Pr-O', 'Cr-O', 'Sm-O']",-24.44878742775,16.33429292775
Pr4Cr8O24Sm4,-324.87452,40.0,-8.121863000000001,"['Pr-O', 'Cr-O', 'Sm-O']",-24.44878742775,16.326924427749997
Pr6Sr2O24Cr8,-312.58951,40.0,-7.814737750000001,"['Pr-O', 'Sr-O', 'Cr-O']",-22.195206563999996,14.380468813999995
Pr4Sr4O24Cr8,-301.11637,40.0,-7.52790925,"['Pr-O', 'Sr-O', 'Cr-O']",-22.195206563999996,14.667297313999995
Pr8Cr7Co1O24,-319.21124,40.0,-7.980281,"['Pr-O', 'Cr-O', 'Co-O']",-22.223116678999997,14.242835678999997
Pr8Cr6Co2O24,-314.09809,40.0,-7.852452250000001,"['Pr-O', 'Cr-O', 'Co-O']",-22.223116678999997,14.370664428999996
Pr8Cr4Co4O24,-303.95525,40.0,-7.59888125,"['Pr-O', 'Cr-O', 'Co-O']",-22.223116678999997,14.624235428999997
Pr8Cr7Fe1O24,-321.30366,40.0,-8.032591499999999,"['Pr-O', 'Cr-O', 'Fe-O']",-22.859743570999996,14.827152070999997
Pr8Cr6Fe2O24,-318.24801,40.0,-7.95620025,"['Pr-O', 'Cr-O', 'Fe-O']",-22.859743570999996,14.903543320999995
Pr8Cr4Fe4O24,-312.14156,40.0,-7.803539000000001,"['Pr-O', 'Cr-O', 'Fe-O']",-22.859743570999996,15.056204570999995
Pr8Cr7Mg1O24,-334.6862,40.0,-8.367155,"['Pr-O', 'Cr-O', 'Mg-O']",-22.126924108999997,13.759769108999997
Pr8Cr6Mg2O24,-327.93933,40.0,-8.198483249999999,"['Pr-O', 'Cr-O', 'Mg-O']",-22.126924108999997,13.928440858999998
Pr8Cr4Mg4O24,-313.94733,40.0,-7.8486832500000006,"['Pr-O', 'Cr-O', 'Mg-O']",-22.126924108999997,14.278240858999997
Pr8Cr7Mn1O24,-323.09303,40.0,-8.07732575,"['Pr-O', 'Cr-O', 'Mn-O']",-23.999171833999995,15.921846083999995
Pr8Cr6Mn2O24,-321.90469,40.0,-8.04761725,"['Pr-O', 'Cr-O', 'Mn-O']",-23.999171833999995,15.951554583999995
Pr8Cr4Mn4O24,-319.62735,40.0,-7.99068375,"['Pr-O', 'Cr-O', 'Mn-O']",-23.999171833999995,16.008488083999996
Pr8Cr7O24Ni1,-316.3775,40.0,-7.9094375,"['Pr-O', 'Cr-O', 'Ni-O']",-21.000327523999996,13.090890023999997
Pr8Cr6O24Ni2,-308.56682,40.0,-7.7141705,"['Pr-O', 'Cr-O', 'Ni-O']",-21.000327523999996,13.286157023999996
Pr8Cr4O24Ni4,-292.67898,40.0,-7.316974500000001,"['Pr-O', 'Cr-O', 'Ni-O']",-21.000327523999996,13.683353023999995
Pr8Cr8O24,-324.34391,40.0,-8.10859775,"['Pr-O', 'Cr-O']",-16.142903343999997,8.034305593999997
Pr6Ba2O24Fe8,-286.69304,40.0,-7.167326,"['Pr-O', 'Ba-O', 'Fe-O']",-20.834316717,13.666990717000001
Pr4Ba4O24Fe8,-274.37857,40.0,-6.85946425,"['Pr-O', 'Ba-O', 'Fe-O']",-20.834316717,13.974852467
Pr6Ca2Fe8O24,-288.32293,40.0,-7.20807325,"['Pr-O', 'Ca-O', 'Fe-O']",-21.359985782000003,14.151912532000003
Pr4Ca4Fe8O24,-277.61219,40.0,-6.94030475,"['Pr-O', 'Ca-O', 'Fe-O']",-21.359985782000003,14.419681032000003
Pr6Fe8O24Dy2,-299.11437,40.0,-7.47785925,"['Pr-O', 'Fe-O', 'Dy-O']",-23.329628642,15.851769392
Pr4Fe8O24Dy4,-299.68399,40.0,-7.4920997499999995,"['Pr-O', 'Fe-O', 'Dy-O']",-23.329628642,15.837528892
Pr6Gd2Fe8O24,-334.93025,40.0,-8.37325625,"['Pr-O', 'Gd-O', 'Fe-O']",-27.005265424999997,18.632009174999997
Pr4Gd4Fe8O24,-354.31572,40.0,-8.857893,"['Pr-O', 'Gd-O', 'Fe-O']",-27.005265424999997,18.147372424999997
Pr6Ho2O24Fe8,-299.07308,40.0,-7.476827,"['Pr-O', 'Ho-O', 'Fe-O']",-23.343932582499995,15.867105582499995
Pr4Ho4O24Fe8,-299.65924,40.0,-7.491481,"['Pr-O', 'Ho-O', 'Fe-O']",-23.343932582499995,15.852451582499995
Pr6Nd2Fe8O24,-298.93594,40.0,-7.4733985,"['Pr-O', 'Nd-O', 'Fe-O']",-23.166041176500002,15.692642676500002
Pr4Nd4Fe8O24,-299.07178,40.0,-7.4767945,"['Pr-O', 'Nd-O', 'Fe-O']",-23.166041176500002,15.689246676500002
Pr6O24Fe8Sm2,-299.01957,40.0,-7.47548925,"['Pr-O', 'Fe-O', 'Sm-O']",-23.22662828575,15.75113903575
Pr4O24Fe8Sm4,-299.29208,40.0,-7.482302,"['Pr-O', 'Fe-O', 'Sm-O']",-23.22662828575,15.744326285749999
Pr6Sr2Fe8O24,-287.49845,40.0,-7.18746125,"['Pr-O', 'Sr-O', 'Fe-O']",-20.973047422,13.785586172
