composition,energy,atoms,e_per_atom,oxides,oxide_e_per_atom,e_per_atom-sum(oxide_e_per_atom)
O24Mo1Ba8Zr6Fe1,-318.13415,40.0,-7.95335375,"['Mo-O', 'Ba-O', 'Zr-O', 'Fe-O']",-29.55120257866667,21.59784882866667
O24Mo2Ba8Zr5Fe1,-312.07078,40.0,-7.801769500000001,"['Mo-O', 'Ba-O', 'Zr-O', 'Fe-O']",-29.55120257866667,21.74943307866667
O24Mo4Ba8Zr3Fe1,-299.02787,40.0,-7.47569675,"['Mo-O', 'Ba-O', 'Zr-O', 'Fe-O']",-29.55120257866667,22.075505828666667
O24Nb1Ba8Zr6Fe1,-324.39504,40.0,-8.109876,"['Nb-O', 'Ba-O', 'Zr-O', 'Fe-O']",-31.602657481999998,23.492781481999998
O24Nb2Ba8Zr5Fe1,-323.86127,40.0,-8.09653175,"['Nb-O', 'Ba-O', 'Zr-O', 'Fe-O']",-31.602657481999998,23.506125731999997
O24Nb4Ba8Zr3Fe1,-322.07211,40.0,-8.05180275,"['Nb-O', 'Ba-O', 'Zr-O', 'Fe-O']",-31.602657481999998,23.550854731999998
O24Ni1Ba8Zr6Fe1,-306.86203,40.0,-7.67155075,"['Ni-O', 'Ba-O', 'Zr-O', 'Fe-O']",-26.992389333666665,19.320838583666664
O24Ni2Ba8Zr5Fe1,-290.97044,40.0,-7.274261,"['Ni-O', 'Ba-O', 'Zr-O', 'Fe-O']",-26.992389333666665,19.718128333666666
O24Ni4Ba8Zr3Fe1,-259.58586,40.0,-6.489646500000001,"['Ni-O', 'Ba-O', 'Zr-O', 'Fe-O']",-26.992389333666665,20.502742833666666
Fe1O24Ba8Zr6Ta1,-327.29439,40.0,-8.18235975,"['Fe-O', 'Ba-O', 'Zr-O', 'Ta-O']",-31.90095077080953,23.71859102080953
Fe1O24Ba8Zr5Ta2,-329.66264,40.0,-8.241566,"['Fe-O', 'Ba-O', 'Zr-O', 'Ta-O']",-31.90095077080953,23.65938477080953
Fe1O24Ba8Zr3Ta4,-332.40753,40.0,-8.31018825,"['Fe-O', 'Ba-O', 'Zr-O', 'Ta-O']",-31.90095077080953,23.59076252080953
W1O24Ba8Zr6Fe1,-319.73261,40.0,-7.99331525,"['W-O', 'Ba-O', 'Zr-O', 'Fe-O']",-29.85885439533333,21.86553914533333
W2O24Ba8Zr5Fe1,-314.97935,40.0,-7.8744837500000004,"['W-O', 'Ba-O', 'Zr-O', 'Fe-O']",-29.85885439533333,21.984370645333332
O24Zn1Ba8Zr6Fe1,-305.93143,40.0,-7.648285749999999,"['Zn-O', 'Ba-O', 'Zr-O', 'Fe-O']",-26.685266841166666,19.036981091166666
O24Zn2Ba8Zr5Fe1,-289.26073,40.0,-7.231518250000001,"['Zn-O', 'Ba-O', 'Zr-O', 'Fe-O']",-26.685266841166666,19.453748591166665
O24Zn4Ba8Zr3Fe1,-255.8438,40.0,-6.396095,"['Zn-O', 'Ba-O', 'Zr-O', 'Fe-O']",-26.685266841166666,20.289171841166667
Ni4Hf4Ba8O24,-276.31799,40.0,-6.90794975,"['Ni-O', 'Hf-O', 'Ba-O']",-20.95043863916667,14.04248888916667
Ni2Hf6Ba8O24,-312.25902,40.0,-7.8064755,"['Ni-O', 'Hf-O', 'Ba-O']",-20.95043863916667,13.143963139166669
Ni1Hf7Ba8O24,-330.35882,40.0,-8.2589705,"['Ni-O', 'Hf-O', 'Ba-O']",-20.95043863916667,12.69146813916667
Ni4Nb4Ba8O24,-275.71251,40.0,-6.89281275,"['Ni-O', 'Nb-O', 'Ba-O']",-20.238689023333336,13.345876273333335
Nb6Ba8O24Fe2,-304.51172,40.0,-7.612793000000001,"['Nb-O', 'Ba-O', 'Fe-O']",-22.098105070333332,14.485312070333332
Ni1Nb7Ba8O24,-315.20025,40.0,-7.880006249999999,"['Ni-O', 'Nb-O', 'Ba-O']",-20.238689023333336,12.358682773333337
Ni4Ba8O24Ta4,-287.0534,40.0,-7.176335,"['Ni-O', 'Ba-O', 'Ta-O']",-20.53698231214286,13.360647312142861
Ni2Ba8O24Ta6,-320.87714,40.0,-8.0219285,"['Ni-O', 'Ba-O', 'Ta-O']",-20.53698231214286,12.515053812142861
Ni1Ba8O24Ta7,-331.82315,40.0,-8.29557875,"['Ni-O', 'Ba-O', 'Ta-O']",-20.53698231214286,12.24140356214286
O24Ni4Ba8Zr4,-269.23263,40.0,-6.73081575,"['Ni-O', 'Ba-O', 'Zr-O']",-20.275549106666666,13.544733356666667
O24Ni2Ba8Zr6,-301.23931,40.0,-7.53098275,"['Ni-O', 'Ba-O', 'Zr-O']",-20.275549106666666,12.744566356666667
O24Ni1Ba8Zr7,-317.48679,40.0,-7.93716975,"['Ni-O', 'Ba-O', 'Zr-O']",-20.275549106666666,12.338379356666668
Sr4Ba4O24Al8,-264.4651,40.0,-6.6116275,"['Sr-O', 'Ba-O', 'Al-O']",-19.447173259000003,12.835545759000002
Fe7Sr4Ba4O24Al1,-252.39572,40.0,-6.309893000000001,"['Fe-O', 'Sr-O', 'Ba-O', 'Al-O']",-26.164013486,19.854120486
Fe6Sr4Ba4O24Al2,-253.81197,40.0,-6.34529925,"['Fe-O', 'Sr-O', 'Ba-O', 'Al-O']",-26.164013486,19.818714236
Fe4Sr4Ba4O24Al4,-256.44391,40.0,-6.411097750000001,"['Fe-O', 'Sr-O', 'Ba-O', 'Al-O']",-26.164013486,19.752915736000002
Fe2Sr4Ba4O24Al6,-260.51255,40.0,-6.512813749999999,"['Fe-O', 'Sr-O', 'Ba-O', 'Al-O']",-26.164013486,19.651199736000002
O24Sr4Ba4Cu8,-213.92367,40.0,-5.34809175,"['Sr-O', 'Ba-O', 'Cu-O']",-17.085531425,11.737439675
O24Sr4Ba4Cu1Fe7,-246.74611,40.0,-6.16865275,"['Sr-O', 'Ba-O', 'Cu-O', 'Fe-O']",-23.802371651999998,17.633718902
O24Sr4Ba4Cu2Fe6,-241.7911,40.0,-6.0447775,"['Sr-O', 'Ba-O', 'Cu-O', 'Fe-O']",-23.802371651999998,17.757594151999996
O24Sr4Ba4Cu4Fe4,-231.75661,40.0,-5.7939152499999995,"['Sr-O', 'Ba-O', 'Cu-O', 'Fe-O']",-23.802371651999998,18.008456402
O24Sr4Ba4Cu6Fe2,-222.91054,40.0,-5.5727635,"['Sr-O', 'Ba-O', 'Cu-O', 'Fe-O']",-23.802371651999998,18.229608151999997
