,x values,analytical gaussian,model residuals
0,-5.0,1.4867195147342977e-06,2.9414058411216892e-06
1,-4.994169096209912,1.5306761164829087e-06,3.2107544731757294e-06
2,-4.988338192419825,1.5758787666816708e-06,3.502809356817935e-06
3,-4.982507288629738,1.6223611435320857e-06,3.819214615529317e-06
4,-4.97667638483965,1.6701577867500437e-06,4.1617158014590575e-06
5,-4.970845481049563,1.7193041182107108e-06,4.532163946987043e-06
6,-4.965014577259475,1.7698364630499112e-06,4.932519641288249e-06
7,-4.959183673469388,1.8217920712309626e-06,5.364857114651333e-06
8,-4.9533527696793005,1.875209139586266e-06,5.831368311921651e-06
9,-4.947521865889213,1.930126834342976e-06,6.334366935019439e-06
10,-4.941690962099125,1.9865853141423765e-06,6.876292433041904e-06
11,-4.9358600583090375,2.044625753562633e-06,7.4597139169914106e-06
12,-4.930029154518951,2.104290367154765e-06,8.087333974697533e-06
13,-4.924198250728863,2.1656224340019926e-06,8.761992360023109e-06
14,-4.918367346938775,2.2286663228124456e-06,9.486669528971429e-06
15,-4.912536443148688,2.2934675175558763e-06,1.0264489993862056e-05
16,-4.906705539358601,2.3600726436547154e-06,1.1098725465315489e-05
17,-4.900874635568513,2.4285294947403256e-06,1.1992797750406219e-05
18,-4.895043731778426,2.498887059985188e-06,1.295028137401128e-05
19,-4.889212827988338,2.571195552022308e-06,1.3974905889122918e-05
20,-4.88338192419825,2.645506435462899e-06,1.5070557840707539e-05
21,-4.877551020408164,2.7218724560238903e-06,1.6241282346609278e-05
22,-4.871720116618076,2.800347670276876e-06,1.7491284258018937e-05
23,-4.865889212827988,2.880987476030165e-06,1.8824928861175202e-05
24,-4.860058309037901,2.963848643356162e-06,2.0246742081259247e-05
25,-4.854227405247814,3.0489893462760566e-06,2.1761410148884667e-05
26,-4.848396501457726,3.136469195114323e-06,2.3373778689207646e-05
27,-4.8425655976676385,3.2263492695354724e-06,2.5088851193483913e-05
28,-4.836734693877551,3.3186921522759684e-06,2.6911786832919234e-05
29,-4.830903790087463,3.413561963584182e-06,2.8847897574882885e-05
30,-4.825072886297376,3.511024396381519e-06,3.090264456202565e-05
31,-4.819241982507289,3.611146752158273e-06,3.308163371556112e-05
32,-4.813411078717201,3.7139979776174007e-06,3.539061052494264e-05
33,-4.807580174927113,3.819648702080498e-06,3.783545398743771e-05
34,-4.801749271137027,3.92817127566951e-06,4.042216966263687e-05
35,-4.795918367346939,4.039639808278704e-06,4.315688180879051e-05
36,-4.790087463556851,4.154130209351093e-06,4.6045824570014404e-05
37,-4.784256559766764,4.271720228474038e-06,4.909533218589435e-05
38,-4.778425655976676,4.392489496808973e-06,5.231182819780723e-05
39,-4.772594752186589,4.516519569370052e-06,5.570181362941443e-05
40,-4.766763848396502,4.6438939681673736e-06,5.927185412224741e-05
41,-4.760932944606414,4.774698226229843e-06,6.302856601109141e-05
42,-4.755102040816326,4.909019932523893e-06,6.697860132802068e-05
43,-4.7492711370262395,5.046948777783633e-06,7.112863172837618e-05
44,-4.743440233236152,5.188576601268941e-06,7.548533133677007e-05
45,-4.737609329446064,5.333997438467591e-06,8.005535851627676e-05
46,-4.7317784256559765,5.483307569758382e-06,8.484533656938353e-05
47,-4.725947521865889,5.636605570052028e-06,8.986183338493009e-05
48,-4.720116618075802,5.793992359426931e-06,9.511134005122621e-05
49,-4.714285714285714,5.955571254777309e-06,0.0001006002484617326
50,-4.708454810495627,6.121448022491107e-06,0.0001063348279460946
51,-4.702623906705539,6.2917309321757875e-06,0.00011232120096596437
52,-4.696793002915452,6.466530811449964e-06,0.00011856531792180826
53,-4.690962099125365,6.645961101819355e-06,0.00012507293112384415
54,-4.685131195335277,6.830137915655318e-06,0.00013184956798725707
55,-4.679300291545189,7.0191800942953854e-06,0.00013890050351896872
56,-4.673469387755102,7.2132092672843884e-06,0.00014623073217032119
57,-4.667638483965015,7.412349912775825e-06,0.00015384493913715545
58,-4.661807580174927,7.6167294191131115e-06,0.00016174747119580358
59,-4.65597667638484,7.826478147610177e-06,0.00016994230717041868
60,-4.650145772594752,8.041729496552217e-06,0.00017843302813388094
61,-4.644314868804665,8.262619966436364e-06,0.00018722278745103539
62,-4.6384839650145775,8.489289226473556e-06,0.0001963142807793582
63,-4.63265306122449,8.721880182371617e-06,0.00020570971614810454
64,-4.626822157434402,8.960539045421942e-06,0.00021541078424266983
65,-4.6209912536443145,9.205415402910182e-06,0.00022541862902606105
66,-4.615160349854228,9.456662289873194e-06,0.0002357338188341499
67,-4.60932944606414,9.714436262224351e-06,0.00024635631808560455
68,-4.603498542274052,9.978897471268886e-06,0.0002572854597510201
69,-4.597667638483965,1.025020973963258e-05,0.00026851991872885503
70,-4.591836734693878,1.0528540638625868e-05,0.0002800576862780957
71,-4.58600583090379,1.0814061567067345e-05,0.00029189604565926655
72,-4.580174927113703,1.110694783158883e-05,0.0003040315491362595
73,-4.574344023323615,1.1407378728446864e-05,0.0003164599964916254
74,-4.568513119533527,1.1715537626863803e-05,0.0003291764152071924
75,-4.562682215743441,1.2031612053922829e-05,0.0003421750424603309
76,-4.556851311953353,1.2355793781041805e-05,0.0003554493090837241
77,-4.551020408163265,1.2688278912049822e-05,0.0003689918256330968
78,-4.545189504373178,1.3029267972892608e-05,0.0003827943707031329
79,-4.539358600583091,1.3378966002991158e-05,0.0003968478816265188
80,-4.533527696793003,1.3737582648280028e-05,0.00041114244768494557
81,-4.5276967930029155,1.4105332255950252e-05,0.00042566730595375323
82,-4.521865889212828,1.448243397092392e-05,0.0004404108398939543
83,-4.51603498542274,1.486911183408651e-05,0.00045536058079636573
84,-4.510204081632653,1.5265594882303625e-05,0.0004705032121728002
85,-4.504373177842566,1.5672117250249493e-05,0.0004858245771785853
86,-4.498542274052478,1.608891827407402e-05,0.0005013096891391165
87,-4.49271137026239,1.6516242596936618e-05,0.0005169427452409423
88,-4.486880466472304,1.695434027643429e-05,0.0005327071434347608
89,-4.481049562682216,1.7403466893952546e-05,0.0005485855025840656
90,-4.475218658892128,1.786388366596665e-05,0.0005645596858787783
91,-4.469387755102041,1.8335857557323414e-05,0.0005806108275184182
92,-4.463556851311953,1.881966139653126e-05,0.0005967193626539214
93,-4.457725947521866,1.9315573993088588e-05,0.0006128650605615139
94,-4.451895043731779,1.982388025688011e-05,0.0006290270610059865
95,-4.446064139941691,2.0344871319669983e-05,0.0006451839137343836
96,-4.440233236151603,2.087884465872357e-05,0.0006613136210247882
97,-4.4344023323615165,2.142610422258687e-05,0.0006773936831983554
98,-4.428571428571429,2.1986960559055266e-05,0.0006934011469864279
99,-4.422740524781341,2.2561730945361594e-05,0.0007093126566282888
100,-4.4169096209912535,2.3150739520615972e-05,0.0007251045075592647
101,-4.411078717201166,2.375431742052824e-05,0.0007407527025332213
102,-4.405247813411079,2.4372802914444885e-05,0.0007562330100084844
103,-4.399416909620991,2.5006541544732954e-05,0.0007715210246116911
104,-4.393586005830904,2.565588626854257e-05,0.0007865922294802314
105,-4.387755102040816,2.6321197601981586e-05,0.0008014220602709736
106,-4.381924198250729,2.7002843766734752e-05,0.0008159859706107411
107,-4.376093294460642,2.770120083916116e-05,0.0008302594987528805
108,-4.370262390670554,2.841665290190184e-05,0.0008442183351940827
109,-4.364431486880466,2.9149592198033658e-05,0.000857838390996711
110,-4.358600583090379,2.9900419287801302e-05,0.0008710958665540609
111,-4.352769679300292,3.0669543207962824e-05,0.0008839673205295283
112,-4.346938775510204,3.145738163378319e-05,0.000896429738695551
113,-4.341107871720117,3.226436104370904e-05,0.0009084606023944109
